version;datetime;validation;test;activation;b1;b2;batch_size;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
81;2024-05-10 13:19:51.264547;0,5296875238418579;;leaky_relu;;;256;;74,0;True;normalizer;0,6546588054664253;2631;17786;5269;vanilla;0,27070465478451866;27;7,0;23,0;22,0;19,0;0,045922242175053744;False;5;sgd;minmax
82;2024-05-10 13:20:36.135713;0,531054675579071;;leaky_relu;;;256;;75,0;True;normalizer;0,8337599025558224;2631;17786;5269;vanilla;0,3105781220801678;29;8,0;22,0;22,0;22,0;0,04951298882983775;False;5;sgd;minmax
83;2024-05-10 13:21:19.587189;0,525390625;;leaky_relu;;;256;;90,0;True;normalizer;0,3664992928348215;2631;17786;5269;vanilla;0,24203269011766657;30;10,0;23,0;24,0;20,0;0,04033191180059907;False;5;sgd;minmax
84;2024-05-10 13:22:02.283339;0,5302734375;;leaky_relu;;;256;;84,0;True;normalizer;0,7649071953607551;2631;17786;5269;vanilla;0,12435625598649316;28;5,0;25,0;21,0;24,0;0,053767677417175516;False;5;sgd;minmax
85;2024-05-10 13:22:40.512901;0,5316406488418579;;leaky_relu;;;512;;48,0;True;normalizer;0,4833637381501052;2631;17786;5269;vanilla;0,19010226625037327;29;3,0;19,0;19,0;;0,04783551398703762;True;4;sgd;minmax
86;2024-05-10 13:23:10.946026;0,5224847793579102;;leaky_relu;;;128;;72,0;True;normalizer;0,6153271017854386;2631;17786;5269;batchnorm;0,3510657435294567;22;7,0;28,0;15,0;;0,04156719459394742;False;4;sgd;minmax
87;2024-05-10 13:24:12.932119;0,533203125;;leaky_relu;;;256;;60,0;True;normalizer;0,3347002603713111;2631;17786;5269;vanilla;0,43196116773035603;25;6,0;24,0;9,0;14,0;0,010958394179662271;False;5;sgd;minmax
88;2024-05-10 13:24:58.553187;0,4619140625;;leaky_relu;0,30423140997002773;0,2638760631145505;256;;7,0;True;minmax;0,3982867933034232;2631;17786;5269;vanilla;;25;4,0;26,0;9,0;14,0;0,00985365954018107;;5;adam;minmax
89;2024-05-10 13:25:46.436586;0,5302972793579102;;leaky_relu;;;64;;55,0;True;normalizer;0,309282074487712;2631;17786;5269;vanilla;0,553153022511577;23;6,0;27,0;10,0;;0,002138122991576688;False;4;sgd;minmax
90;2024-05-10 13:27:15.901466;0,251953125;;leaky_relu;;;256;;8,0;True;maxabs;0,19472802323623217;2631;17786;5269;vanilla;0,4573634606533943;27;9,0;29,0;7,0;;0,014766731168970326;False;4;sgd;normalizer
91;2024-05-10 13:27:51.416298;0,524218738079071;;leaky_relu;;;256;;78,0;True;normalizer;0,24199361376364711;2631;17786;5269;vanilla;0,2831077943093523;26;7,0;25,0;3,0;11,0;0,00701906011725429;False;5;sgd;minmax
92;2024-05-10 13:28:39.559519;0,533398449420929;;leaky_relu;;;256;;60,0;True;normalizer;0,5288575564346139;2631;17786;5269;vanilla;0,4204230524743106;28;6,0;23,0;23,0;18,0;0,021931290438391447;False;5;sgd;minmax
93;2024-05-10 13:29:11.535316;0,530078113079071;;leaky_relu;;;256;;61,0;True;normalizer;0,5312871390801617;2631;17786;5269;vanilla;0,4004730220025532;24;5,0;24,0;7,0;17,0;0,023875352363050106;False;5;sgd;minmax
94;2024-05-10 13:29:49.001520;0,530468761920929;;leaky_relu;;;256;;58,0;True;normalizer;0,39901695175024887;2631;17786;5269;vanilla;0,7491860946749492;27;8,0;22,0;25,0;12,0;0,011558859039686816;False;5;sgd;minmax
95;2024-05-10 13:30:27.643726;0,5288753509521484;;leaky_relu;;;8;;53,0;True;normalizer;0,33062878292062886;2631;17786;5269;vanilla;0,44651920958012675;7;6,0;26,0;23,0;15,0;0,019014530815222135;False;5;sgd;minmax
96;2024-05-10 13:37:39.856253;0,4619140625;;leaky_relu;;;256;;81,0;True;normalizer;0,6557412925513405;2631;17786;5269;vanilla;0,3371992838934523;28;4,0;25,0;24,0;4,0;0,021210500898701502;False;5;sgd;minmax
97;2024-05-10 13:38:15.293938;0,5304877758026123;;leaky_relu;;;128;;37,0;True;normalizer;0,498484358791422;2631;17786;5269;vanilla;0,6077418162612885;22;30,0;21,0;21,0;21,0;0,014364186565102192;False;5;sgd;maxabs
98;2024-05-10 13:39:17.525786;0,524609386920929;;relu;;;256;;;False;;0,44955352050425035;2631;17786;5269;vanilla;0,5209208355586857;25;17,0;24,0;27,0;;;False;4;sgd;minmax
99;2024-05-10 13:39:54.092806;0,4597264528274536;;selu;;;16;0,5441709584290503;87,0;True;normalizer;0,8729013280473443;2631;17786;5269;dropout;0,8650172408479622;26;;;;;;True;1;sgd;minmax
100;2024-05-10 13:44:23.127356;0,5245807766914368;;leaky_relu;;;32;;83,0;True;normalizer;0,5916470733333169;2631;17786;5269;batchnorm;0,2174924968494612;28;5,0;29,0;;;0,03170295193980948;False;3;sgd;minmax
101;2024-05-10 13:47:33.157811;0,532031238079071;;leaky_relu;;;256;;67,0;True;normalizer;0,7343081579538359;2631;17786;5269;vanilla;0,27564849103609157;29;7,0;24,0;22,0;19,0;0,026696963088679068;False;5;sgd;minmax
102;2024-05-10 13:48:14.760912;0,5208984613418579;;leaky_relu;;;256;;76,0;True;normalizer;0,4285507057969193;2631;17786;5269;vanilla;0,39132560280422585;30;6,0;23,0;22,0;18,0;0,03625670489190361;False;5;sgd;minmax
103;2024-05-10 13:48:57.292253;0,5337890386581421;;leaky_relu;;;256;;79,0;True;normalizer;0,8616125022407694;2631;17786;5269;vanilla;0,1551382760990868;27;7,0;27,0;23,0;18,0;0,04316148891026257;False;5;sgd;minmax
104;2024-05-10 13:49:36.971514;0,529296875;;leaky_relu;;;256;;81,0;True;normalizer;0,8761800756552226;2631;17786;5269;vanilla;0,14938580606129254;27;20,0;27,0;24,0;15,0;0,04278713378580734;False;5;sgd;minmax
105;2024-05-10 13:50:22.761354;0,5279296636581421;;leaky_relu;;;256;;78,0;True;normalizer;0,5839790400292053;2631;17786;5269;vanilla;0,1930699939076022;26;8,0;26,0;23,0;18,0;0,07692669666447761;False;5;sgd;minmax
106;2024-05-10 13:51:11.542099;0,529492199420929;;leaky_relu;;;256;;60,0;True;normalizer;0,36251759192963695;2631;17786;5269;vanilla;0,11032689918482853;25;6,0;;;;0,03359501534616454;False;2;sgd;minmax
107;2024-05-10 13:51:44.888737;0,4619140625;;leaky_relu;0,48256894787414806;0,22124252883021622;256;;85,0;True;normalizer;0,2966384839077486;2631;17786;5269;vanilla;;28;10,0;28,0;25,0;;0,029389647578631828;;4;adam;minmax
108;2024-05-10 13:52:29.457014;0,251953125;;leaky_relu;;;512;;9,0;True;minmax;0,5233531296936202;2631;17786;5269;vanilla;0,3019678189108982;24;3,0;27,0;20,0;21,0;0,036794725786606;False;5;sgd;minmax
109;2024-05-10 13:52:56.310728;0,5306640863418579;;leaky_relu;;;256;;70,0;True;normalizer;0,6576479045391249;2631;17786;5269;vanilla;0,16867075558878422;27;12,0;25,0;6,0;13,0;0,04443566781565607;False;5;sgd;minmax
110;2024-05-10 13:53:42.385612;0,251953125;;leaky_relu;;;256;;9,0;True;maxabs;0,4261717437266601;2631;17786;5269;vanilla;0,6634593811466863;20;4,0;26,0;26,0;;0,056996824284201816;False;4;sgd;minmax
111;2024-05-10 13:54:17.386845;0,532031238079071;;leaky_relu;;;256;;74,0;True;normalizer;0,7268274973735924;2631;17786;5269;vanilla;0,23447568649307024;29;7,0;23,0;23,0;19,0;0,04633291153668239;False;5;sgd;minmax
112;2024-05-10 13:55:02.097163;0,5326172113418579;;leaky_relu;;;256;;79,0;True;normalizer;0,9819683631435281;2631;17786;5269;vanilla;0,3335400030912572;29;5,0;25,0;22,0;17,0;0,04230286031116907;False;5;sgd;minmax
113;2024-05-10 13:56:11.284078;0,518359363079071;;leaky_relu;;;256;;78,0;True;normalizer;0,869768283757865;2631;17786;5269;vanilla;0,3649685659349978;30;5,0;25,0;23,0;17,0;0,040533425399718194;False;5;sgd;minmax
114;2024-05-10 13:56:52.847694;0,5295350551605225;;leaky_relu;;;128;;80,0;True;normalizer;0,9534441451146594;2631;17786;5269;vanilla;0,47296474444187153;28;5,0;26,0;21,0;16,0;0,0432982735780658;False;5;sgd;minmax
