HS,AS,HST,AST,HC,AC,HF,AF,B365H,B365D,B365A,tend_ptsH,tend_ptsA,tend_goalsH,tend_goalsA,tend_HS,tend_AS,tend_HST,tend_AST,tend_HC,tend_AC,tend_HF,tend_AF,res,dif_puntos,dif_goles,dif_shots,dif_targets,dif_corners
12,9,3,3,6,4,9,17,1.44,4.5,7.5,2.0,4.0,3.0,2.0,41.0,39.0,15.0,15.0,17.0,18.0,30.0,37.0,-1,2.0,-1.0,-2.0,0.0,1.0
17,21,5,9,6,7,9,9,12.0,6.0,1.25,6.0,4.0,5.0,4.0,45.0,37.0,18.0,12.0,17.0,16.0,37.0,35.0,1,-2.0,-1.0,-8.0,-6.0,-1.0
16,8,5,2,8,2,12,19,1.5,4.0,7.5,1.0,4.0,4.0,3.0,31.0,32.0,7.0,14.0,10.0,14.0,35.0,44.0,0,3.0,-1.0,1.0,7.0,4.0
7,14,3,6,3,4,14,12,3.29,3.1,2.37,3.0,6.0,4.0,6.0,21.0,23.0,6.0,11.0,10.0,14.0,37.0,45.0,1,3.0,2.0,2.0,5.0,4.0
10,15,2,2,4,4,19,21,2.1,3.1,4.0,1.0,5.0,2.0,3.0,42.0,41.0,13.0,13.0,25.0,16.0,39.0,22.0,0,4.0,1.0,-1.0,0.0,-9.0
13,15,7,4,5,7,14,8,1.72,3.75,5.0,0.0,2.0,3.0,1.0,26.0,28.0,14.0,11.0,17.0,7.0,48.0,34.0,-1,2.0,-2.0,2.0,-3.0,-10.0
12,16,5,6,3,2,16,15,1.3,5.5,10.0,9.0,2.0,13.0,3.0,56.0,38.0,25.0,13.0,15.0,16.0,28.0,42.0,-1,-7.0,-10.0,-18.0,-12.0,1.0
17,9,4,3,3,7,16,16,1.85,3.6,4.33,1.0,7.0,1.0,4.0,30.0,39.0,9.0,12.0,11.0,19.0,34.0,20.0,-1,6.0,3.0,9.0,3.0,8.0
16,13,7,2,6,7,18,22,1.36,4.75,9.5,1.0,3.0,2.0,2.0,27.0,44.0,16.0,19.0,10.0,19.0,47.0,35.0,0,2.0,0.0,17.0,3.0,9.0
15,22,5,4,4,8,4,15,4.5,3.6,1.75,6.0,7.0,6.0,10.0,39.0,39.0,16.0,16.0,14.0,11.0,36.0,36.0,-1,1.0,4.0,0.0,0.0,-3.0
18,11,5,7,2,9,13,14,1.66,3.75,5.5,7.0,0.0,5.0,2.0,36.0,31.0,14.0,14.0,16.0,23.0,27.0,43.0,1,-7.0,-3.0,-5.0,0.0,7.0
10,10,2,4,8,3,17,14,1.61,3.75,6.0,5.0,4.0,4.0,4.0,40.0,34.0,15.0,13.0,18.0,12.0,17.0,32.0,0,-1.0,0.0,-6.0,-2.0,-6.0
12,10,1,7,3,3,14,19,3.1,3.2,2.39,6.0,2.0,4.0,3.0,26.0,45.0,8.0,16.0,15.0,24.0,40.0,44.0,1,-4.0,-1.0,19.0,8.0,9.0
4,14,3,2,5,3,16,0,5.25,3.6,1.72,7.0,4.0,8.0,4.0,35.0,25.0,19.0,7.0,17.0,10.0,38.0,37.0,-1,-3.0,-4.0,-10.0,-12.0,-7.0
20,5,6,4,10,0,18,18,2.14,3.25,3.6,4.0,0.0,4.0,1.0,28.0,30.0,16.0,14.0,8.0,12.0,58.0,45.0,1,-4.0,-3.0,2.0,-2.0,4.0
10,17,3,7,4,3,14,19,2.7,3.39,2.6,1.0,5.0,2.0,5.0,41.0,28.0,17.0,11.0,19.0,7.0,36.0,35.0,0,4.0,3.0,-13.0,-6.0,-12.0
12,7,2,4,8,3,15,16,2.04,3.2,4.0,7.0,1.0,6.0,3.0,44.0,32.0,17.0,7.0,20.0,7.0,37.0,36.0,1,-6.0,-3.0,-12.0,-10.0,-13.0
13,12,0,3,9,4,12,13,2.29,3.25,3.2,4.0,9.0,3.0,10.0,32.0,59.0,9.0,19.0,13.0,18.0,35.0,30.0,0,5.0,7.0,27.0,10.0,5.0
11,10,2,2,4,3,9,17,1.85,3.5,4.5,1.0,2.0,2.0,3.0,45.0,43.0,10.0,13.0,17.0,17.0,41.0,46.0,-1,1.0,1.0,-2.0,3.0,0.0
17,1,8,0,6,3,18,17,1.36,5.25,7.5,7.0,7.0,5.0,5.0,41.0,24.0,16.0,9.0,14.0,12.0,35.0,42.0,-1,0.0,0.0,-17.0,-7.0,-2.0
12,9,4,2,6,6,13,13,3.29,3.29,2.25,1.0,4.0,1.0,5.0,30.0,33.0,12.0,13.0,22.0,14.0,39.0,41.0,-1,3.0,4.0,3.0,1.0,-8.0
11,14,5,5,3,6,15,12,2.37,3.1,3.29,5.0,3.0,5.0,3.0,33.0,39.0,19.0,14.0,10.0,16.0,39.0,41.0,1,-2.0,-2.0,6.0,-5.0,6.0
29,6,10,2,16,2,6,19,1.19,7.0,12.0,0.0,6.0,2.0,6.0,36.0,38.0,9.0,19.0,7.0,19.0,31.0,35.0,0,6.0,4.0,2.0,10.0,12.0
10,5,4,1,3,6,17,17,2.29,3.1,3.39,1.0,4.0,2.0,4.0,45.0,30.0,12.0,12.0,15.0,14.0,37.0,39.0,1,3.0,2.0,-15.0,0.0,-1.0
10,8,3,3,7,5,10,14,1.44,4.0,8.0,5.0,2.0,4.0,3.0,35.0,29.0,13.0,14.0,12.0,8.0,48.0,48.0,1,-3.0,-1.0,-6.0,1.0,-4.0
17,6,6,1,10,4,14,14,1.6,3.79,6.5,3.0,7.0,5.0,6.0,41.0,47.0,14.0,19.0,16.0,22.0,44.0,33.0,-1,4.0,1.0,6.0,5.0,6.0
