ptsH,ptsA,goalsH,goalsA,HS,AS,HST,AST,HC,AC,HF,AF,res
11.0,18.0,9.0,19.0,106.0,131.0,30.0,50.0,41.0,60.0,106.0,104.0,1
15.0,13.0,17.0,10.0,132.0,99.0,39.0,33.0,57.0,36.0,120.0,113.0,1
7.0,6.0,11.0,7.0,119.0,61.0,36.0,23.0,53.0,36.0,115.0,96.0,0
20.0,22.0,18.0,25.0,91.0,161.0,34.0,57.0,43.0,64.0,117.0,99.0,1
25.0,15.0,18.0,16.0,217.0,133.0,86.0,47.0,92.0,59.0,93.0,109.0,-1
20.0,4.0,26.0,7.0,168.0,98.0,71.0,41.0,69.0,31.0,102.0,113.0,0
23.0,23.0,20.0,20.0,95.0,157.0,37.0,58.0,43.0,73.0,121.0,85.0,-1
13.0,7.0,11.0,10.0,98.0,99.0,33.0,34.0,45.0,52.0,101.0,123.0,0
16.0,12.0,15.0,18.0,126.0,106.0,39.0,38.0,55.0,54.0,121.0,96.0,1
23.0,6.0,18.0,7.0,137.0,71.0,50.0,22.0,59.0,39.0,113.0,95.0,1
9.0,7.0,8.0,7.0,114.0,92.0,34.0,34.0,46.0,35.0,109.0,115.0,1
17.0,11.0,17.0,11.0,133.0,115.0,41.0,45.0,53.0,59.0,117.0,98.0,-1
7.0,13.0,10.0,9.0,118.0,93.0,35.0,30.0,55.0,31.0,116.0,108.0,1
13.0,22.0,14.0,27.0,143.0,160.0,42.0,58.0,49.0,61.0,121.0,104.0,-1
22.0,4.0,24.0,7.0,173.0,106.0,60.0,29.0,69.0,51.0,100.0,116.0,1
15.0,3.0,18.0,4.0,148.0,89.0,52.0,26.0,54.0,47.0,97.0,118.0,-1
12.0,10.0,11.0,10.0,116.0,111.0,31.0,38.0,50.0,58.0,94.0,107.0,-1
12.0,6.0,10.0,8.0,108.0,71.0,33.0,25.0,44.0,32.0,105.0,131.0,-1
12.0,23.0,11.0,21.0,115.0,155.0,35.0,57.0,49.0,65.0,116.0,84.0,1
15.0,12.0,17.0,12.0,141.0,134.0,50.0,43.0,55.0,57.0,92.0,116.0,1
20.0,4.0,25.0,9.0,174.0,111.0,69.0,30.0,70.0,48.0,99.0,123.0,-1
25.0,10.0,20.0,9.0,204.0,112.0,83.0,36.0,86.0,60.0,98.0,112.0,-1
20.0,9.0,20.0,6.0,90.0,88.0,37.0,28.0,33.0,32.0,125.0,107.0,0
14.0,5.0,13.0,8.0,91.0,75.0,30.0,24.0,42.0,41.0,95.0,95.0,-1
9.0,8.0,6.0,11.0,114.0,99.0,32.0,33.0,47.0,53.0,111.0,123.0,-1
7.0,12.0,11.0,16.0,118.0,103.0,37.0,38.0,49.0,54.0,120.0,98.0,-1
13.0,10.0,11.0,6.0,101.0,92.0,31.0,26.0,50.0,35.0,93.0,107.0,0
23.0,22.0,17.0,27.0,143.0,158.0,51.0,63.0,64.0,53.0,115.0,96.0,1
14.0,16.0,14.0,15.0,152.0,121.0,47.0,42.0,57.0,52.0,129.0,117.0,-1
30.0,15.0,32.0,17.0,184.0,150.0,88.0,56.0,78.0,47.0,96.0,78.0,-1
14.0,12.0,14.0,14.0,120.0,143.0,35.0,49.0,51.0,49.0,117.0,105.0,0
22.0,9.0,25.0,12.0,175.0,113.0,65.0,44.0,70.0,37.0,103.0,104.0,0
18.0,13.0,14.0,12.0,108.0,114.0,39.0,45.0,52.0,61.0,92.0,101.0,-1
10.0,6.0,11.0,8.0,124.0,92.0,41.0,40.0,62.0,28.0,90.0,109.0,1
