wyId;mins4_H;mins4_A;shots_11H;shots_11A;shots_acc_11H;shots_acc_11A;goals_H;goals_A;goals_ratio_H;goals_ratio_A;passes_11H;passes_11A;passes_acc_11H;passes_acc_11A;keyPasses_H;keyPasses_A;ataque_h;defensa_h;ataque_a;defensa_a;ataquedefensa_H;ataquedefensa_A
2576276;64.27272727272727;53.59090909090909;34;15;0.4117647058823529;0.6;4;3;1.0;0.6;1234;893;0.8282009724473258;0.8331466965285554;5;2;1.3600000000000003;0.24;1.2000000000000002;1.16;1.1285714285714286;0.8666666666666667
2576277;51.0;67.31818181818181;20;31;0.45;0.2903225806451613;2;3;0.4;0.5;933;1108;0.8338692390139335;0.779783393501805;2;8;1.28;1.0;2.2;1.16;0.7098595848595849;1.1411764705882352
2576278;62.65909090909091;50.97727272727273;18;15;0.5;0.2;3;0;0.75;0.0;1008;983;0.7569444444444444;0.8453713123092573;4;1;0.7200000000000001;3.2;0.16;2.0;0.7691489361702127;0.9126304228445908
2576279;50.38636363636363;54.15909090909091;32;40;0.59375;0.225;7;3;0.7777777777777778;0.4285714285714285;1143;1255;0.8652668416447944;0.8581673306772908;4;11;2.2000000000000006;2.4800000000000004;1.8000000000000005;0.8;0.7474358974358973;1.3102564102564105
2576280;60.29545454545455;45.61363636363637;41;12;0.3414634146341463;0.25;1;1;0.25;0.5;1406;717;0.8862019914651493;0.7782426778242678;6;5;0.56;1.3600000000000003;0.36;1.12;0.9607843137254902;0.8742424242424243
2576281;63.22727272727273;42.77272727272727;33;7;0.2121212121212121;0.2857142857142857;5;0;0.7142857142857143;0.0;1651;709;0.8661417322834646;0.8166431593794076;9;5;2.0;0.12;0.68;1.3600000000000003;1.4233841181902125;0.7691489361702127
2576282;72.0909090909091;46.97727272727273;21;14;0.1428571428571428;0.2857142857142857;2;1;1.0;0.3333333333333333;1159;608;0.8153580672993961;0.7763157894736842;3;1;0.64;0.9600000000000002;0.9600000000000002;1.9600000000000009;0.8666666666666667;0.7098595848595849
2576283;49.90909090909091;50.38636363636363;43;25;0.3488372093023256;0.28;5;0;0.625;0.0;1190;985;0.8336134453781513;0.8121827411167513;9;3;1.3200000000000005;1.5200000000000002;0.12;0.56;1.4188405797101449;0.9166666666666666
2576284;59.79545454545455;46.65909090909091;17;21;0.2941176470588235;0.3809523809523809;2;4;0.2857142857142857;0.6666666666666666;957;1158;0.7774294670846394;0.8920552677029361;2;3;1.36;1.0;2.2;0.9600000000000002;0.9061224489795918;1.9948412698412696
2576285;62.18181818181818;53.81818181818182;35;26;0.4;0.4230769230769231;4;6;1.0;0.75;1211;1413;0.8307184145334434;0.8612880396319886;13;1;0.7600000000000001;0.0;2.0400000000000005;1.4400000000000002;1.1285714285714286;1.517948717948718
2576286;67.77272727272727;61.0;25;29;0.48;0.5172413793103449;6;3;1.0;0.375;1354;1546;0.8463810930576071;0.8751617076326003;7;3;1.6000000000000003;0.68;1.5200000000000002;1.4400000000000002;1.1411764705882352;1.250574712643678
2576287;48.75;47.45454545454545;14;20;0.3571428571428571;0.3;2;1;0.5;0.2;754;661;0.7718832891246684;0.7246596066565809;3;6;0.8800000000000001;1.3200000000000005;1.16;1.12;0.661344537815126;0.7575757575757576
2576288;56.72727272727273;48.20454545454545;65;16;0.4153846153846154;0.25;4;0;0.6666666666666666;0.0;1889;749;0.8755955532027527;0.829105473965287;17;2;1.64;1.12;0.6000000000000001;2.0;1.4860544217687075;0.9126304228445908
2576289;58.97727272727273;57.54545454545455;32;15;0.34375;0.1333333333333333;2;0;0.5;0.0;1576;1436;0.8927664974619289;0.8683844011142061;6;5;0.6000000000000001;0.4800000000000001;1.4400000000000002;2.8000000000000003;1.250574712643678;0.7474358974358973
2576290;63.75;47.29545454545455;24;17;0.375;0.2941176470588235;3;1;0.75;1.0;1131;815;0.7736516357206012;0.7865030674846626;3;4;1.28;2.36;0.16;1.0;0.7691489361702127;0.8742424242424243
2576291;59.90909090909091;58.11363636363637;18;30;0.3333333333333333;0.2;2;1;1.0;0.3333333333333333;1209;898;0.8097601323407775;0.7873051224944321;4;6;0.64;2.0;0.4800000000000001;2.12;0.9126304228445908;0.9061224489795918
2576292;57.65909090909091;46.70454545454545;31;23;0.3225806451612903;0.2608695652173913;3;2;0.75;0.2857142857142857;952;841;0.7794117647058824;0.7990487514863258;9;2;1.3600000000000003;1.7200000000000004;1.88;0.28;0.7575757575757576;1.1285714285714286
2576293;63.27272727272727;47.15909090909091;32;12;0.1875;0.0;2;0;0.5;0.0;1170;710;0.8076923076923077;0.7845070422535211;7;1;1.1200000000000003;0.52;0.0;2.4000000000000004;0.9166666666666666;0.661344537815126
2576294;56.95454545454545;71.13636363636364;17;40;0.4705882352941176;0.35;3;4;0.6;0.8;1070;1829;0.822429906542056;0.8430836522689995;3;10;0.8;0.52;0.6000000000000001;0.24;0.7098595848595849;1.4233841181902125
