,CuotaLocal,CuotaVisitante,Resultado
1623,-1.0831610786110146,0.7315330506969532,0
2547,-0.3300823060007748,0.25636926276236566,0
1544,-1.996786314832668,2.77381675323548,1
3729,-0.7916467150199541,0.6789457540085407,0
827,0.1416263757441008,-0.17559781717816864,0
3383,-0.48731853324906693,0.40589632889562727,1
445,-0.37179803976052606,0.12677913878020522,1
2979,-1.0659478495227805,1.1621431659884598,0
667,-0.30420799012447397,-0.012779456277505676,0
1098,-1.2061127149555437,1.3362869626137015,0
996,-0.8875562026083549,0.6285962146260176,1
3558,-0.7388964968463337,0.5994019438916135,1
2375,1.7832791890483,-1.3673187612494073,1
283,-0.4503217738965272,0.013387780295815058,1
3030,0.07873188484478376,-0.23607320836984352,1
2974,0.1416263757441008,-0.23607320836984352,1
2552,-1.0831610786110146,1.0339100066553273,0
2010,-0.6707607983720739,0.40589632889562727,1
3416,1.0326316634844206,-0.9617779026699411,0
384,1.0326316634844206,-0.9099418530770771,0
3054,1.3995161937304346,-1.1432040762449656,1
3136,0.6541000052940884,-0.6978852865608147,1
1686,-0.8875562026083549,0.7865106790530213,0
8,0.1416263757441008,-0.4304883227781838,0
2910,0.1943128602670883,-0.3267862951573557,0
2631,0.8322325503248331,-0.7803517290949168,0
2658,-0.6825083325917737,0.5994019438916135,0
755,-0.6825083325917737,0.4553462247822178,0
375,0.1416263757441008,-0.4304883227781838,0
1538,-0.6707607983720739,0.40589632889562727,0
1303,1.0326316634844206,-0.9617779026699411,0
2867,-0.03807216968251885,-0.17559781717816864,1
573,-0.7388964968463337,0.5340623855812803,1
3126,-1.283982084640412,1.4586360199378992,1
3148,0.07873188484478376,-0.17559781717816864,1
1644,-0.864685478644967,0.7865106790530213,0
2841,1.9672363770694004,-1.401020217641053,0
3351,1.7139886482270188,-1.233917163032478,1
3622,1.0326316634844206,-0.9617779026699411,1
2463,-0.41184514416988655,0.18933988828883455,1
2577,0.46155210979842853,-0.6507616051127565,1
930,0.8322325503248331,-1.0071344460636973,0
927,-0.6648256329997517,0.48963148593025424,0
3360,-1.0114392907433727,0.9675345772986114,0
380,-0.9312796454795377,0.6789457540085407,1
1455,-1.9653390693830097,2.6667455688305473,0
215,0.8322325503248331,-0.8501310266237723,0
1226,-0.8411000445577232,0.6892795022660889,1
3252,-1.7970038143289562,2.4048371077297594,1
2410,-1.3929992021992275,1.422680378601808,0
3643,-0.864685478644967,0.7865106790530213,1
2947,0.5634337398592788,-0.5989255555198922,0
536,0.1416263757441008,-0.3915813571484359,0
2481,1.7139886482270188,-1.32463024981999,0
922,-1.5209758184639242,1.5913036724581135,0
1471,-0.501721851775628,0.3283637760857879,0
3170,0.351274678741823,-0.4304883227781838,1
1668,-0.3300823060007748,0.12677913878020522,0
624,-0.41184514416988655,0.3283637760857879,0
760,-1.556524878537451,1.8698933554814203,1
1110,0.018905417891775394,-0.3599740098357137,1
3604,0.46155210979842853,-0.5989255555198922,0
1076,1.009136595045021,-0.8501310266237723,0
25,-0.37179803976052606,0.12677913878020522,0
2068,0.3065955322013244,-0.4779747731365428,1
2382,-1.0114392907433727,0.9043198826731669,1
3594,-0.14425767379824833,-0.08666341836688217,0
142,1.3143958301072993,-1.0827286850532907,0
1606,-0.09239963690451991,-0.13240110918411535,0
1602,1.9672363770694004,-1.4283023490057183,1
1335,0.207831103006539,-0.3267862951573557,1
918,-0.864685478644967,0.9043198826731669,0
2677,1.9672363770694004,-1.401020217641053,0
3703,-1.4821950256564402,1.7792595732533574,0
1792,0.351274678741823,-0.4304883227781838,0
2388,0.018905417891775394,-0.3267862951573557,0
3315,-1.6733289330647536,2.0922293525096363,1
2803,-0.31290523915852453,0.12677913878020522,0
3318,-1.7200505548756744,2.20022112249477,0
2992,0.42914404842669107,-0.4779747731365428,1
494,0.750541192094173,-0.7803517290949168,0
2755,1.9291540118299444,-1.3673187612494073,0
40,-1.556524878537451,1.9410408745304493,1
2020,-1.0659478495227805,1.0339100066553273,1
2528,0.6541000052940884,-0.7803517290949168,0
3238,-0.3300823060007748,0.20237337776979875,0
1454,-0.03807216968251885,-0.3267862951573557,0
2477,1.0326316634844206,-0.9617779026699411,1
2526,0.5634337398592788,-0.4779747731365428,0
31,1.1299683755905061,-0.9617779026699411,0
370,0.8322325503248331,-0.7803517290949168,0
1940,1.9291540118299444,-1.32463024981999,0
1832,1.81881279972588,-1.2688068117969056,1
1308,0.5811300470887236,-0.7803517290949168,1
2060,0.5634337398592788,-0.6507616051127565,1
476,1.009136595045021,-1.0471549255287762,0
3579,0.3065955322013244,-0.4304883227781838,0
1488,1.6469699284162713,-1.1926839417654267,0
3073,-0.2412096558169576,0.06825456665922965,1
3720,0.6541000052940884,-0.5989255555198922,1
943,-0.30420799012447397,0.06825456665922965,0
574,1.1299683755905061,-1.1432040762449656,1
2756,-1.9281741429425046,2.6667455688305473,0
2439,1.5504629718887952,-1.233917163032478,0
2561,0.5634337398592788,-0.6978852865608147,1
1819,1.1299683755905061,-1.0827286850532907,1
1261,-0.08173723679552901,-0.08194123789902633,0
72,0.6729090317880179,-0.6978852865608147,1
1255,-1.3413595149345254,1.4769274072455034,0
