datetime;validation;test;activation;batch_size;factor_flag;learning_rate;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;nesterov;num_hidden_layers;optim;scaler
2023-12-19 21:22:53.283826;0,5344893336296082;;selu;64;False;0,2362397840625385;;vanilla;0,02700954552079624;20;17,0;25,0;True;3;sgd;maxabs
2023-12-19 21:23:49.785070;0,5346798896789551;0,499809958190802;selu;64;False;0,2290483071375232;;vanilla;0,030973930017769324;20;17,0;25,0;True;3;sgd;maxabs
2023-12-19 21:24:47.101390;0,5293444991111755;;selu;64;False;0,4241975384589024;;vanilla;0,031267571000319065;20;17,0;22,0;True;3;sgd;maxabs
2023-12-19 21:25:43.216075;0,5323932766914368;;selu;64;False;0,30073777559589826;;vanilla;0,03050569908623894;23;15,0;25,0;True;3;sgd;maxabs
2023-12-19 21:26:40.300927;0,5329649448394775;;selu;64;False;0,24156588745444466;;vanilla;0,049096276445496786;18;18,0;10,0;True;3;sgd;maxabs
2023-12-19 21:27:39.153975;0,5306783318519592;;selu;64;False;0,19166021381728554;;batchnorm;0,052082656641196066;20;20,0;10,0;True;3;sgd;maxabs
2023-12-19 21:28:41.797330;0,5310594439506531;;relu;64;False;0,14819704990980445;;vanilla;0,017061964343188286;21;20,0;13,0;True;3;sgd;maxabs
2023-12-19 21:29:38.148693;0,5310594439506531;;selu;64;False;0,32521003646053137;;vanilla;0,025114869756653876;18;17,0;7,0;True;3;sgd;maxabs
2023-12-19 21:30:36.230546;0,5308688879013062;;selu;64;False;0,5462695969423357;;vanilla;0,06618414688448807;21;18,0;27,0;True;3;sgd;maxabs
2023-12-19 21:31:32.380764;0,5253430008888245;;selu;64;False;0,4099407122401695;anova;vanilla;0,04597395630377642;28;18,0;6,0;True;3;sgd;normalizer
2023-12-19 21:32:29.085996;0,5335366129875183;;selu;64;False;0,2680594977495854;;vanilla;0,040997386566873344;18;14,0;23,0;True;3;sgd;maxabs
2023-12-19 21:33:27.083632;0,5320122241973877;;selu;64;False;0,23672163044068398;;vanilla;0,03428597131902399;19;15,0;23,0;True;3;sgd;maxabs
2023-12-19 21:34:24.414589;0,5297256112098694;;selu;64;False;0,1978857174299023;;vanilla;0,020708599085418326;19;14,0;10,0;True;3;sgd;maxabs
2023-12-19 21:35:21.002878;0,5335366129875183;;selu;64;False;0,2546045909277143;;vanilla;0,030037040390152432;22;19,0;25,0;True;3;sgd;maxabs
2023-12-19 21:36:18.812228;0,4919969439506531;;selu;128;False;0,34346479433796206;;dropout;0,02898925754641752;22;16,0;24,0;True;3;sgd;maxabs
2023-12-19 21:37:14.496611;0,5339176654815674;;selu;64;False;0,25318461330346914;;vanilla;0,04520311912209595;23;14,0;20,0;True;3;sgd;maxabs
2023-12-19 21:38:12.531322;0,5240091681480408;;selu;64;True;0,24170739785995038;;vanilla;0,04550109641389554;24;19,0;20,0;True;3;sgd;maxabs
2023-12-19 21:39:11.141905;0,5302972793579102;;selu;64;False;0,49867396377662565;;vanilla;0,06554216742282917;26;11,0;18,0;True;3;sgd;minmax
2023-12-19 21:40:07.481624;0,5182926654815674;;relu;64;False;0,3028591340690296;pca;vanilla;0,03376070504766493;23;13,0;21,0;True;3;sgd;maxabs
2023-12-19 21:41:07.936154;0,531054675579071;;selu;256;False;0,41673844889386336;;batchnorm;0,050352403766789566;21;14,0;19,0;True;3;sgd;maxabs
2023-12-19 21:41:32.903278;0,5325838327407837;;selu;64;False;0,21982207975797877;;vanilla;0,026368892897448065;20;17,0;26,0;True;3;sgd;maxabs
