version;datetime;validation;test;activation;b1;b2;batch_size;dims;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
59;2024-01-13 19:22:22.308896;0,533984363079071;;leaky_relu;0,7960632808173049;0,21295668284571181;256;27,0;0,4356869705544346;93,0;True;normalizer;0,011612843174128385;2631;17667;5269;anova;dropout;;21;10,0;;;;0,08248425641614415;;2;adam;minmax
60;2024-01-13 19:22:45.115126;0,534375011920929;;leaky_relu;0,791624791767014;0,20376653252338675;256;23,0;0,4200252527350166;93,0;True;normalizer;0,010549404848883953;2631;17667;5269;anova;dropout;;21;10,0;;;;0,08284372726770851;;2;adam;minmax
61;2024-01-13 19:23:08.567304;0,5335937738418579;;leaky_relu;0,8017260201439846;0,21503564371217265;256;23,0;0,42002326741055707;93,0;True;normalizer;0,009926818134825658;2631;17667;5269;anova;dropout;;21;9,0;;;;0,08154750798946962;;2;adam;minmax
62;2024-01-13 19:23:33.613972;0,5337890386581421;;leaky_relu;0,792533299721707;0,21963281727347195;256;22,0;0,39630719608756637;95,0;True;normalizer;0,010856198997938807;2631;17667;5269;anova;dropout;;21;9,0;;;;0,08453605239739106;;2;adam;minmax
63;2024-01-13 19:23:56.271549;0,5328124761581421;;leaky_relu;0,7941879971699961;0,22518131667067;256;21,0;0,4233604491624825;95,0;True;normalizer;0,01118506933334926;2631;17667;5269;anova;dropout;;23;9,0;;;;0,08442304654932077;;2;adam;minmax
64;2024-01-13 19:24:17.999338;0,5283203125;;leaky_relu;0,809373865208738;0,2328246409726594;256;23,0;0,4182900353172893;89,0;True;normalizer;0,012015154105625871;2631;17667;5269;anova;dropout;;21;;;;;0,08300693228671238;;1;adam;minmax
65;2024-01-13 19:24:40.600425;0,5306640863418579;;leaky_relu;0,7929421589661665;0,21850028671954247;256;19,0;0,45211579517601264;89,0;True;normalizer;0,00853445912405248;2631;17667;5269;anova;dropout;;23;7,0;;;;0,08486004408935037;;2;adam;minmax
66;2024-01-13 19:25:04.595095;0,5306640863418579;;leaky_relu;0,7894612535439182;0,157005256156136;256;22,0;0,39652378597626486;100,0;True;normalizer;0,014814186304575505;2631;17667;5269;anova;dropout;;21;;;;;0,09575478861289992;;1;adam;minmax
67;2024-01-13 19:25:27.205816;0,2515625059604645;;leaky_relu;0,8481780315341739;0,29543966025044965;256;23,0;0,40060944778573954;9,0;True;minmax;0,009352658665407642;2631;17667;5269;pca;dropout;;24;7,0;;;;0,07916755141765904;;2;adam;minmax
68;2024-01-13 19:25:49.446548;0,5189453363418579;;leaky_relu;0,9923174346196191;0,13103646435364735;256;21,0;0,46281931255270237;96,0;True;normalizer;0,01706860378532112;2631;17667;5269;anova;dropout;;21;10,0;;;;0,08966683621262948;;2;adam;minmax
69;2024-01-13 19:26:14.415185;0,5341796875;;leaky_relu;0,7234305636980284;0,29280159868191913;256;25,0;0,3879576316152243;84,0;True;normalizer;0,006195543311175925;2631;17667;5269;anova;dropout;;19;8,0;;;;0,0779608365620343;;2;adam;minmax
70;2024-01-13 19:26:37.947729;0,5283203125;;leaky_relu;0,7099658154045703;0,29736643006799335;256;;0,3808271075886207;86,0;True;normalizer;0,0076789191909608905;2631;17667;5269;;dropout;;19;5,0;;;;0,07501521974992745;;2;adam;minmax
71;2024-01-13 19:27:01.320352;0,5347656011581421;;leaky_relu;0,7406225814338581;0,2160596797270336;256;25,0;0,42122687931924574;94,0;True;normalizer;0,005931918008370153;2631;17667;5269;anova;dropout;;22;8,0;;;;0,08102490704234523;;2;adam;minmax
72;2024-01-13 19:27:25.102841;0,5347656011581421;;leaky_relu;0,7205439730389176;0,3035971753719221;256;25,0;0,37963926379577134;92,0;True;normalizer;0,013396292396138019;2631;17667;5269;anova;dropout;;22;6,0;;;;0,0793103693074986;;2;adam;minmax
73;2024-01-13 19:27:50.385597;0,533398449420929;;leaky_relu;0,7068576869588504;0,29038982126191654;256;25,0;0,37835834102552945;92,0;True;normalizer;0,005790699514152474;2631;17667;5269;anova;dropout;;22;6,0;;;;0,08894953719107533;;2;adam;minmax
74;2024-01-13 19:28:14.010770;0,5357421636581421;;leaky_relu;0,7333757568001016;0,168751077889682;256;24,0;0,47238516451883905;86,0;True;normalizer;0,006580654017093349;2631;17667;5269;anova;dropout;;24;8,0;;;;0,0793072216353429;;2;adam;minmax
75;2024-01-13 19:28:37.824944;0,5320122241973877;;leaky_relu;0,7283864147287278;0,1390112827502285;64;24,0;0,489642769677511;86,0;True;normalizer;0,0047458025025525485;2631;17667;5269;anova;dropout;;24;8,0;;;;0,0780757014359212;;2;adam;minmax
76;2024-01-13 19:29:37.324439;0,2974609434604645;;leaky_relu;0,6086165445106446;0,3149103617668598;256;25,0;0,4754406584507121;10,0;True;minmax;0,006035742413616662;2631;17667;5269;anova;dropout;;25;;;;;0,07882927478017154;;1;adam;normalizer
77;2024-01-13 19:30:00.754427;0,5320122241973877;;leaky_relu;0,8628561331803972;0,16855525502309382;128;24,0;0,43776514736028893;100,0;True;normalizer;0,013326968474229033;2631;17667;5269;anova;dropout;;27;4,0;;;;0,09959584393569214;;2;adam;minmax
78;2024-01-13 19:30:34.756530;0,5341796875;;leaky_relu;0,7482697617168084;0,2675049651514274;256;26,0;0,49436342726226573;84,0;True;normalizer;0,017127252425316573;2631;17667;5269;anova;dropout;;22;10,0;;;;0,09141527592233345;;2;adam;minmax
79;2024-01-13 19:30:58.709584;0,534375011920929;;leaky_relu;0,7375685510750808;0,36507660314305285;256;26,0;0,5178189724167833;84,0;True;normalizer;0,01800368009430141;2631;17667;5269;anova;dropout;;22;12,0;;;;0,0937436029949952;;2;adam;minmax
80;2024-01-13 19:31:22.677535;0,53125;;leaky_relu;0,6449603638756151;0,3642438711360265;256;20,0;0,527495462646987;89,0;True;normalizer;0,006940163295476326;2631;17667;5269;anova;dropout;;24;;;;;0,09227454863871382;;1;adam;minmax
81;2024-01-13 19:31:44.560982;0,534960925579071;;leaky_relu;0,7420412011463342;0,26677789987406975;256;25,0;0,5156098416988716;84,0;True;normalizer;0,019184877006681936;2631;17667;5269;anova;dropout;;22;12,0;;;;0,09226803910674383;;2;adam;minmax
82;2024-01-13 19:32:08.032486;0,533984363079071;;leaky_relu;0,7316668544490492;0,272641633438692;256;25,0;0,5194693834136627;73,0;True;normalizer;0,009309951863561807;2631;17667;5269;anova;dropout;;20;12,0;;;;0,09508691125107442;;2;adam;minmax
83;2024-01-13 19:32:38.195793;0,5355468988418579;;leaky_relu;0,7353887520459431;0,34638149245327154;256;24,0;0,5478350339766119;75,0;True;normalizer;0,019439825731772324;2631;17667;5269;anova;dropout;;22;13,0;;;;0,08949832686451167;;2;adam;minmax
84;2024-01-13 19:33:06.964057;0,533007800579071;;leaky_relu;0,6410407552670512;0,34741441386952826;256;24,0;0,5298778647725113;75,0;True;normalizer;0,02664767243242032;2631;17667;5269;anova;dropout;;26;13,0;;;;0,0882256389249106;;2;adam;minmax
85;2024-01-13 19:33:37.028333;0,2515625059604645;;leaky_relu;0,8583099586148397;0,39456326215392973;256;26,0;0,5557880815065964;9,0;True;maxabs;0,01448383623663405;2631;17667;5269;anova;dropout;;23;12,0;;;;0,08739672071530569;;2;adam;minmax
86;2024-01-13 19:34:01.116910;0,4594131112098694;;leaky_relu;0,7486093755240351;0,4193063603499207;64;22,0;0,5634321967269909;87,0;True;normalizer;0,020478587916942025;2631;17667;5269;pca;dropout;;22;13,0;;;;0,09961172442908182;;2;adam;minmax
87;2024-01-13 19:35:00.173027;0,5238186120986938;;leaky_relu;0,663395083347318;0,33910439058798836;128;27,0;;81,0;True;normalizer;0,01920613474772902;2631;17667;5269;anova;batchnorm;;25;14,0;;;;0,09274257251916415;;2;adam;minmax
88;2024-01-13 19:35:37.352282;0,533007800579071;;leaky_relu;0,7476291779401836;0,1813895113289156;256;23,0;0,47188599793776853;96,0;True;normalizer;0,012967336850024632;2631;17667;5269;anova;dropout;;24;8,0;;;;0,08817178435142617;;2;adam;minmax
89;2024-01-13 19:36:00.980242;0,5257812738418579;;leaky_relu;0,618156682376669;0,26137279192840945;256;;0,4984600201489285;76,0;True;normalizer;0,03024332384654003;2631;17667;5269;;dropout;;23;;;;;0,08214287491335409;;1;adam;normalizer
90;2024-01-13 19:36:24.624161;0,32402342557907104;;leaky_relu;0,6923299566732117;0,4459922269930486;256;24,0;0,4722352860285558;1,0;True;minmax;0,02454852743184584;2631;17667;5269;anova;dropout;;20;11,0;;;;0,07282183003086215;;2;adam;minmax
91;2024-01-13 19:36:49.145429;0,533398449420929;;leaky_relu;0,754467208588113;0,3267714858238181;256;25,0;0,36725679745307493;84,0;True;normalizer;0,016925176083612253;2631;17667;5269;anova;dropout;;19;8,0;;;;0,07876237652739751;;2;adam;minmax
92;2024-01-13 19:37:12.192061;0,534375011920929;;leaky_relu;0,6942229431860275;0,2623176084582203;256;25,0;0,40718767924912086;91,0;True;normalizer;0,01913218862751265;2631;17667;5269;anova;dropout;;22;6,0;;;;0,08538297172101718;;2;adam;minmax
93;2024-01-13 19:37:34.878373;0,5357421636581421;;leaky_relu;0,6845448804129981;0,24573740547976616;256;26,0;0,4060088607425388;91,0;True;normalizer;0,019341204048459182;2631;17667;5269;anova;dropout;;22;6,0;;;;0,08654135685161587;;2;adam;minmax
94;2024-01-13 19:37:58.978939;0,534375011920929;;leaky_relu;0,6737876182296575;0,3840476835369789;256;26,0;0,4499761871044183;91,0;True;normalizer;0,01874187255361762;2631;17667;5269;anova;dropout;;22;6,0;;;;0,08668301651145552;;2;adam;minmax
95;2024-01-13 19:38:27.842165;0,5249999761581421;;leaky_relu;0,5772415953691886;0,17553109256720476;256;11,0;0,36055067129021;63,0;True;normalizer;0,021074180183659454;2631;17667;5269;anova;dropout;;24;5,0;;;;0,09359175126978837;;2;adam;minmax
96;2024-01-13 19:38:51.807264;0,5347656011581421;;leaky_relu;0,6867712564183429;0,2566111123582077;256;24,0;0,41910185107230014;97,0;True;normalizer;0,014964691268746335;2631;17667;5269;anova;dropout;;22;6,0;;;;0,08446525504096336;;2;adam;minmax
97;2024-01-13 19:39:15.395432;0,5269531011581421;;leaky_relu;0,6703464967019965;0,32435600685364435;256;24,0;;9,0;True;maxabs;0,015246709025958309;2631;17667;5269;anova;batchnorm;;27;3,0;;;;0,0909739267150879;;2;adam;minmax
98;2024-01-13 19:39:40.661992;0,5322265625;;leaky_relu;0,7667732443441103;0,246415997229624;256;23,0;0,5519739159840853;82,0;True;normalizer;0,012302961246815791;2631;17667;5269;anova;dropout;;23;4,0;;;;0,07335126302331449;;2;adam;minmax
99;2024-01-13 19:40:04.508535;0,534960925579071;;leaky_relu;0,8416089074235343;0,0972966358121031;256;24,0;0,4358593885276152;98,0;True;normalizer;0,010355695851936061;2631;17667;5269;anova;dropout;;25;14,0;;;;0,08202641262482177;;2;adam;minmax
100;2024-01-13 19:40:30.582960;0,5301067233085632;;leaky_relu;0,8408116717694617;0,09376126439512666;64;20,0;0,4271157214361263;98,0;True;normalizer;0,010285830101968624;2631;17667;5269;anova;dropout;;25;7,0;;;;0,08183157986994055;;2;adam;minmax
101;2024-01-13 19:41:29.018109;0,533007800579071;;leaky_relu;0,7109509251686347;0,19767079775459664;256;24,0;0,4534199217778828;97,0;True;normalizer;0,008727869971592134;2631;17667;5269;anova;dropout;;23;14,0;;;;0,08489265297259888;;2;adam;minmax
102;2024-01-13 19:41:51.835707;0,534375011920929;;leaky_relu;0,7646787611710696;0,18534978317056644;256;26,0;0,41740958045351306;93,0;True;normalizer;0,013630140353973898;2631;17667;5269;anova;dropout;;24;12,0;;;;0,08216318385811797;;2;adam;minmax
