datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;lr;n_a;n_d;n_independent;n_shared;n_steps
2023-12-23 01:00:01.088276;0,5180457746478874;;512;0,39941619847210635;1,047797401484999;0,07728285000784503;37;18;3;3;3
2023-12-23 01:03:51.284785;0,5169454225352113;;512;0,4582243797703505;1,0255676369950457;0,06412623157347314;34;16;3;3;3
2023-12-23 01:05:50.149593;0,5193661971830986;;512;0,36831386297671576;1,0710333235599674;0,047268128175077286;28;19;3;3;3
2023-12-23 01:08:23.885004;0,5173855633802817;;1024;0,42769618677429727;1,0536495024906873;0,09584699135080312;25;21;4;3;3
2023-12-23 01:11:28.029341;0,5162852112676056;;512;0,40819997778518374;1,0338811409975301;0,03466797491490418;29;19;2;3;4
2023-12-23 01:15:13.273568;0,5044014084507042;;4096;0,48012706587723164;1,0971504006382224;0,2806027887119757;41;24;3;3;3
2023-12-23 01:17:11.843708;0,5178257042253521;;2048;0,50175056166006;1,0140894034068846;0,06636390566872381;31;21;4;3;3
2023-12-23 01:21:17.087169;0,516725352112676;;8192;0,5350184527666512;1,1223198378684223;0,05588092103625283;27;31;2;4;6
2023-12-23 01:30:54.497265;0,5217869718309859;;512;0,6900641670987198;1,1085219903813641;0,11406959938671099;36;25;3;1;3
2023-12-23 01:36:42.145784;0,5173855633802817;;512;0,37583268188903496;1,2812773122975176;0,13627555322458104;34;25;3;1;3
2023-12-23 01:38:54.931037;0,5213468309859155;;512;0,737078943893555;1,1523101081713012;0,11816041307497828;38;20;3;3;3
2023-12-23 01:42:05.862095;0,5211267605633803;;512;0,7300923137408938;1,0795069808901885;0,11713476383891304;36;22;3;3;3
2023-12-23 01:45:45.755077;0,5140845070422535;;512;0,7496789497813471;1,1436204633241698;0,11305313302252823;36;22;3;3;3
2023-12-23 01:48:56.534498;0,5200264084507042;;512;0,7207323382622947;1,1084427216196382;0,16922892643447252;39;20;3;3;4
2023-12-23 01:55:11.530209;0,5129841549295775;;512;0,6988945554763704;1,070891965807453;0,221671342451327;38;22;3;3;3
2023-12-23 01:58:59.484589;0,5204665492957746;;512;0,7694339531047277;1,163574083520114;0,12274355895337637;36;19;3;2;3
2023-12-23 02:01:25.603583;0,5123239436619719;;512;0,7352020231312539;1,1982068370144277;0,14566649077247543;37;19;3;2;4
2023-12-23 02:04:27.729917;0,5171654929577465;;512;0,7680573180226994;1,1673609663578832;0,11500521423099187;33;17;3;2;3
2023-12-23 02:07:33.650540;0,5189260563380281;;512;0,7823958610677424;1,158345813353606;0,12403359769366668;35;18;3;2;3
2023-12-23 02:10:24.945668;0,5134242957746479;;512;0,7053911237243885;1,1866256524175762;0,1857283160071589;40;21;3;2;3
2023-12-23 02:12:18.716872;0,512544014084507;;512;0,6783550675963821;1,1451435805087546;0,0955575614400907;36;19;2;2;5
2023-12-23 02:15:31.525182;0,4982394366197183;;512;0,7439263334136846;1,1258851264902892;0,245454563143773;33;20;3;3;3
2023-12-23 02:17:34.791527;0,5180457746478874;;512;0,7242791028547371;1,0418565321155209;0,1568983123897024;43;49;2;2;3
2023-12-23 02:20:28.856442;0,515625;;512;0,7924596806463808;1,2188093255951866;0,09943236199237614;37;20;2;3;3
2023-12-23 02:23:53.216783;0,516725352112676;;512;0,7480758881091821;1,1109862289590138;0,13072340578515093;39;43;5;2;3
2023-12-23 02:28:02.893395;0,5160651408450704;;512;0,7715409099868855;1,0615851112228003;0,08772347036936057;35;18;3;4;3
2023-12-23 02:31:46.071210;0,5037411971830986;;512;0,7042611517067163;1,015574852599709;0,1021810498296024;32;40;2;3;8
2023-12-23 02:38:52.882134;0,5079225352112676;;512;0,8078922989640961;1,1815565579571095;0,18012570977028242;34;17;3;2;3
2023-12-23 02:40:45.912644;0,516725352112676;;512;0,7558968030623044;1,0906097893378863;0,08037279191236894;31;23;3;3;3
2023-12-23 02:45:01.559311;0,5158450704225352;;512;0,6853635771337816;1,082840000419626;0,07561019275297709;31;25;3;3;3
2023-12-23 02:47:47.096399;0,5195862676056338;;512;0,7257923666659056;1,1292875227294379;0,07530199310666098;36;24;3;3;3
2023-12-23 02:51:18.888337;0,508362676056338;;512;0,458484131932413;1,1052520125592467;0,10959861149065547;33;30;3;3;3
2023-12-23 02:53:48.712198;0,5193661971830986;;512;0,7883419997120955;1,0002702867473474;0,08916761725976638;38;26;3;3;3
2023-12-23 02:57:56.616835;0,5077024647887324;;512;0,3920781490862525;1,149691221134512;0,38816079510554724;41;27;3;1;3
2023-12-23 03:01:12.379761;0,5121038732394366;;512;0,8201169435152873;1,082793883041054;0,14596287578972605;30;22;2;2;3
2023-12-23 03:03:09.912422;0,5204665492957746;;1024;0,4459672131609034;1,1196096603172516;0,12004666297795816;21;21;3;1;3
2023-12-23 03:05:59.933722;0,512544014084507;;1024;0,45074856480371106;1,1616761826821917;0,1935026158793327;20;21;2;1;4
2023-12-23 03:07:58.316273;0,5105633802816901;;1024;0,7408634447544201;1,1210506074555835;0,12067160950285234;23;19;5;1;5
2023-12-23 03:10:39.337480;0,5149647887323944;;1024;0,4202432871930265;1,1330722712722885;0,06994252795586313;34;32;3;1;3
2023-12-23 03:12:36.904903;0,5162852112676056;;1024;0,4383179494453383;1,1009403183175699;0,13199043868843016;21;21;3;1;3
2023-12-23 03:15:27.245329;0,5180457746478874;;2048;0,4756054937788062;1,4619813196674036;0,08848280952689623;36;23;3;1;3
2023-12-23 03:17:33.070460;0,5160651408450704;;1024;0,4042402746828333;1,1147990628071736;0,10667519847154724;32;28;3;3;3
2023-12-23 03:21:49.461210;0,5143045774647887;;4096;0,4906794415900341;1,0611052987111427;0,06423219877845718;29;22;3;1;3
2023-12-23 03:24:48.911512;0,5193661971830986;;512;0,3526221405848234;1,1436806071735581;0,15735053492796738;35;38;2;3;3
2023-12-23 03:29:49.384683;0,5088028169014085;;8192;0,38677997668803776;1,03268906973913;0,20799574796404824;38;34;3;1;3
2023-12-23 03:31:40.670176;0,5121038732394366;;512;0,7615348060361158;1,0924205582487356;0,04986680160398332;17;20;3;5;3
2023-12-23 03:34:02.878047;0,4669894366197183;;512;0,4612579151620894;1,0730950029234805;0,31011621612654267;33;24;2;2;3
2023-12-23 03:35:23.825453;0,5138644366197183;;512;0,41259491219375377;1,1775334404150288;0,07965044731363975;40;21;3;3;5
2023-12-23 03:39:11.234130;0,5129841549295775;;512;0,7247981759860659;1,1101612972115515;0,17466261439540148;39;20;3;3;4
