datetime;validation;test;activation;b1;b2;batch_size;dims;dropout;factor_flag;learning_rate;method;mode;n_units_l1;num_hidden_layers;optim;scaler
2023-12-20 00:23:43.815745;0,44853752851486206;;relu;0,6026909295149531;0,6821543658548626;16;29,0;;False;0,008848279017713097;pca;vanilla;14;2;adam;normalizer
2023-12-20 00:28:40.834990;0,3250558078289032;;leaky_relu;0,4791600334321456;0,7810262639314515;256;;0,27866485690771353;True;0,0029522131166828483;;dropout;17;1;adam;maxabs
2023-12-20 00:29:09.687658;0,3349609375;;leaky_relu;;;256;38,0;;False;0,006768937544455408;anova;vanilla;24;1;sgd;normalizer
2023-12-20 00:29:37.771619;0,4656808078289032;;selu;0,6018746630839817;0,5205508995271677;128;;0,3031642094529589;False;0,021250629812907974;;dropout;20;2;adam;normalizer
2023-12-20 00:30:24.061329;0,3546316921710968;;relu;0,7399338291478655;0,6010677155923684;256;17,0;0,3784249165531731;True;0,002564253789008592;anova;dropout;30;1;adam;normalizer
2023-12-20 00:31:25.965244;0,3965708017349243;;leaky_relu;0,8259118935758303;0,7140565458512493;32;12,0;;False;0,012174318464367997;anova;batchnorm;18;2;adam;maxabs
2023-12-20 00:33:53.072930;0,4610770046710968;;leaky_relu;0,6591477745992442;0,9051555997903996;256;32,0;0,2272740799405699;False;0,013286006246996442;anova;dropout;12;1;adam;normalizer
2023-12-20 00:34:44.479500;0,4387555718421936;;leaky_relu;0,6511595839948804;0,7882604190105115;256;35,0;0,2414848732026439;False;0,027739214468261785;anova;dropout;10;1;adam;normalizer
2023-12-20 00:35:12.264202;0,458984375;;leaky_relu;0,5654413844102641;0,8213484142181005;256;38,0;0,20290668020909097;False;0,01588296332613828;anova;dropout;27;1;adam;normalizer
2023-12-20 00:35:44.757781;0,4460100531578064;;leaky_relu;0,7164410583028982;0,4579029884812587;256;;0,2720245722752255;False;0,00643980868245132;;dropout;8;1;adam;normalizer
2023-12-20 00:36:18.652283;0,47110065817832947;;leaky_relu;0,626045630958318;0,9063043658013394;64;25,0;0,3277998659185601;True;0,008245921208338223;anova;dropout;15;3;adam;normalizer
2023-12-20 00:37:49.042930;0,4525386393070221;;leaky_relu;;;16;44,0;0,26328244384451605;False;0,022006529049507405;anova;dropout;13;1;sgd;normalizer
2023-12-20 00:51:39.347502;0,4727957546710968;;relu;0,4411587030150414;0,6263676633839469;256;34,0;0,19752727196673014;False;0,016235413045452465;anova;dropout;15;2;adam;minmax
2023-12-20 00:52:08.551262;0,4528459906578064;;leaky_relu;0,5150352108934659;0,726206724262374;256;20,0;0,29467164579471206;False;0,004822452229016548;anova;dropout;5;1;adam;normalizer
2023-12-20 00:52:38.328737;0,4535435140132904;;leaky_relu;0,5674350309606184;0,9824354213523818;256;28,0;;False;0,010603470282742245;pca;vanilla;13;5;adam;maxabs
2023-12-20 00:53:15.450028;0,3406808078289032;;selu;0,8561899684138746;0,5472520071613287;128;;;True;0,02571414765277409;;batchnorm;9;3;adam;normalizer
2023-12-20 00:54:12.765241;0,4814453125;0,4623074844636585;relu;0,4323968558723378;0,6372862377886227;256;34,0;0,1774423845103654;False;0,018889662541436106;anova;dropout;15;2;adam;minmax
2023-12-20 00:54:43.332166;0,4748883843421936;;relu;0,4888885741504645;0,6659509383268757;256;39,0;0,22938805635017998;False;0,014927795575280754;anova;dropout;18;1;adam;minmax
2023-12-20 00:55:22.498252;0,4737723171710968;;relu;0,4770302646749963;0,6809121070807496;256;40,0;0,17333130355482584;False;0,01900576994319976;anova;dropout;18;2;adam;minmax
2023-12-20 00:55:59.543771;0,4700055718421936;;relu;0,33958668445701884;0,6434848900957506;256;37,0;0,24008430837060885;False;0,030281792763477033;anova;dropout;16;1;adam;minmax
2023-12-20 00:56:27.840393;0,4631696343421936;;relu;0,4283632067972831;0,5855921249606976;256;25,0;0,14600603905431642;False;0,016950918656664097;anova;dropout;20;1;adam;minmax
2023-12-20 00:56:56.749125;0,4587053656578064;;relu;0,49907579604385677;0,6360357197792207;256;30,0;0,261449439751508;False;0,048944968549425684;anova;dropout;19;2;adam;minmax
2023-12-20 00:57:45.522732;0,47054755687713623;;relu;;;64;44,0;0,2096092646978642;False;0,03667217763974368;anova;dropout;14;1;sgd;minmax
2023-12-20 00:59:00.417208;0,4681919515132904;;relu;0,3889887066012671;0,4945254557399533;256;27,0;0,30742043647929407;False;0,009881872385866887;anova;dropout;22;2;adam;minmax
2023-12-20 00:59:29.340357;0,4725167453289032;;relu;0,5365348759239187;0,72241510602952;256;39,0;0,1701852309742126;False;0,013704308873179014;anova;dropout;15;3;adam;minmax
2023-12-20 01:00:15.817513;0,46316224336624146;;selu;0,28648333384229374;0,5733470345734174;16;36,0;;False;0,022084423115285443;anova;batchnorm;17;1;adam;minmax
2023-12-20 01:05:22.256447;0,4732142984867096;;relu;0,6325509589892223;0,7590196697729519;256;33,0;0,21891428187745018;False;0,015608619802722826;anova;dropout;12;1;adam;minmax
2023-12-20 01:06:24.442837;0,4722377359867096;;leaky_relu;0,5580096279881978;0,661342511489934;256;34,0;0,2591428471123089;False;0,011589937041651462;anova;dropout;10;1;adam;minmax
2023-12-20 01:07:08.543939;0,4771205484867096;;leaky_relu;0,45921747627031306;0,6992121165979617;256;31,0;0,23769519203268905;False;0,007804872629083275;anova;dropout;18;1;adam;normalizer
2023-12-20 01:07:54.162748;0,4458705484867096;;selu;0,45960768218116965;0,6102795257233807;256;29,0;0,25222320039527935;False;0,006837472268399472;anova;dropout;18;1;adam;normalizer
2023-12-20 01:08:29.742832;0,4688895046710968;;leaky_relu;0,5095068947706831;0,692691656677522;256;24,0;0,284578523000136;False;0,009097764229138005;anova;dropout;19;1;adam;minmax
2023-12-20 01:09:03.038248;0,44261616468429565;;relu;0,4068230902726231;0,6506461009312802;32;31,0;0,2362015322524263;False;0,019094677474959344;pca;dropout;16;2;adam;normalizer
2023-12-20 01:11:28.304079;0,4672153890132904;;leaky_relu;0,4492431844767949;0,7167017035784349;128;21,0;0,20320711664719818;False;0,025546772560558623;anova;dropout;21;1;adam;maxabs
2023-12-20 01:12:11.596544;0,3878348171710968;;selu;;;256;27,0;;False;0,008033614899795266;anova;vanilla;13;1;sgd;normalizer
2023-12-20 01:12:42.096484;0,3250558078289032;;leaky_relu;0,5874970333985754;0,6099160686943036;256;36,0;0,3274517165565395;True;0,0354189742491838;anova;dropout;15;1;adam;minmax
2023-12-20 01:13:10.408378;0,4510323703289032;;relu;0,5340860449402922;0,7995487553276741;256;;0,3556900333484008;False;0,012439559282744551;;dropout;17;2;adam;normalizer
2023-12-20 01:13:45.767850;0,4669363796710968;;leaky_relu;0,6425764239853211;0,7500738788937839;256;32,0;0,22562888197441666;False;0,014321400230923603;anova;dropout;10;1;adam;normalizer
2023-12-20 01:14:37.873236;0,43359375;;leaky_relu;0,5974889341423303;0,6890002736927785;256;34,0;0,2584214762573016;False;0,005685284006820279;anova;dropout;12;1;adam;normalizer
2023-12-20 01:15:13.097723;0,47265625;;leaky_relu;0,6723082509602267;0,8266178806490191;256;30,0;0,2212663411889291;False;0,010481867937809048;anova;dropout;19;1;adam;normalizer
2023-12-20 01:16:16.053758;0,4760044515132904;;leaky_relu;0,6911230365917541;0,7648766299447463;256;28,0;0,2876931962435043;False;0,019431158649588526;anova;dropout;16;1;adam;normalizer
2023-12-20 01:16:51.120569;0,474609375;;leaky_relu;0,48476496134832814;0,7562068188844154;256;26,0;0,30175713688791395;False;0,020287326334833825;anova;dropout;14;1;adam;normalizer
2023-12-20 01:17:25.588244;0,4767020046710968;;leaky_relu;0,48380746241916256;0,7569661408365684;256;28,0;0,31159474216862465;False;0,020476000322233158;anova;dropout;16;1;adam;normalizer
2023-12-20 01:17:59.472881;0,4634955823421478;;leaky_relu;0,37442210909874624;0,785248763561796;64;28,0;0,31714313037029046;False;0,027011764986466385;anova;dropout;16;4;adam;normalizer
2023-12-20 01:19:57.898132;0,4231305718421936;;selu;0,4148099634597916;0,7098407604075383;256;7,0;;False;0,03969270594153423;pca;batchnorm;17;1;adam;minmax
2023-12-20 01:20:38.362979;0,4495033025741577;;leaky_relu;0,5026868844827436;0,6768898638268759;16;42,0;0,28468607906976295;False;0,05656718438051672;anova;dropout;18;1;adam;normalizer
2023-12-20 01:25:26.309291;0,4612831771373749;;leaky_relu;;;32;32,0;;False;0,030053826876014343;anova;vanilla;21;2;sgd;maxabs
2023-12-20 01:27:50.346648;0,4732142984867096;;leaky_relu;0,4808819989342752;0,7552007810766417;256;26,0;0,3004183600025616;False;0,019154666009956543;anova;dropout;14;1;adam;normalizer
2023-12-20 01:28:25.125910;0,4702846109867096;;leaky_relu;0,44435368785531176;0,7454760803812029;256;29,0;0,3428506400043039;False;0,02233513708857498;anova;dropout;16;1;adam;normalizer
2023-12-20 01:28:57.146423;0,4702846109867096;;leaky_relu;0,5350426034358803;0,8068943284584079;256;26,0;0,3030476152168566;False;0,01738703339414154;anova;dropout;15;1;adam;normalizer
2023-12-20 01:29:34.780918;0,48046875;;leaky_relu;0,4649731627643059;0,773075591757284;256;31,0;0,27466518833922937;False;0,014137871955274795;anova;dropout;17;1;adam;normalizer
