0;features;tabnet_owntop1_adv_comp_ss_sup_202406072117;tabnet_owntop1_comp_ss_sup_202406150937;tabnet_own_comp_rs_unsup_202405310904;tabnet_own_comp_ss_sup_202405232005;tabnet_own_simp_ss_sup_202405260830;tabnet_own_simp_ss_unsup_202406122130;tabnet_paper_ss_unsup_202406172147;COUNT;MEAN;
48;FTG_60D_A;2,46E-05;0;0,00070699;0,005011726;0,042568985;0;;6;0,00805205;
137;top7_H;2,03E-05;;;;;;;1;2,03E-05;
90;Points_30D_H;1,92E-05;0,00016093;0,007868615;0;0;0;;6;0,001341464;
108;FTG_rival_60D_H;1,07E-05;0;0,001764075;0,000891783;1,04E-10;0,000621507;;6;0,000548006;
151;pagerank_10_A;4,74E-06;;;;;;;1;4,74E-06;
110;Side_1825D_A;2,23E-06;0,003068938;0;6,19E-09;0;6,11E-06;;6;0,000512881;
80;Points_180D_H;2,08E-06;0,005252061;1,24E-07;0,000260802;0,008841936;0,002668987;;6;0,002837665;
91;top3_H;1,27E-06;0,002630141;;;;;;2;0,001315703;
134;R_60D_A;1,13E-06;0;0;0,000122147;;;;4;3,08E-05;
75;Y_730D_A;8,49E-07;0;1,12E-07;0,01263095;;;;4;0,003157978;
143;Y_1825D_H;4,98E-07;5,18E-05;0;4,14E-07;;;;4;1,32E-05;
155;S_30D_A;1,91E-07;6,32E-07;0;0;;;;4;2,06E-07;
66;C_60D_H;1,14E-07;0,000946003;0;0,01629413;;;;4;0,004310062;
38;ST_180D_H;5,60E-08;0,00099525;0;0,045830081;;;;4;0,011706347;OWN
40;F_365D_H;4,40E-08;7,65E-07;0,04611806;0;;;;4;0,011529717;OWN
133;ST_1825D_H;1,63E-08;0;7,36E-06;0,000133532;;;;4;3,52E-05;
132;ST_1825D_A;7,40E-09;0,000144891;1,30E-05;0;;;;4;3,95E-05;
106;FTG_rival_1825D_H;9,41E-10;0;0;0;0;0,003787532;;6;0,000631255;
94;Y_60D_A;2,40E-10;0;3,05E-05;0,004772654;;;;4;0,001200789;
107;Side_60D_A;5,82E-12;0;0;4,34E-05;0,001902813;0,00164157;;6;0,000597965;
