version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
82;2024-01-16 21:33:32.523598;0,5293224520781932;;512;0,6974353411977315;1,3634058608857904;2631;17667;5269;0,011790791580256983;entmax;11;13;2;2;8;0,23877164954675667
83;2024-01-16 21:49:26.377014;0,5266654014044411;;512;0,7369667047770755;1,3313867093883203;2631;17667;5269;0,01054280464848944;entmax;13;11;2;1;6;0,2803272749617764
84;2024-01-16 21:57:56.940316;0,528373505408996;;512;0,677061776700886;1,446598993688633;2631;17667;5269;0,005842842139535389;entmax;12;15;2;3;7;0,25153230548314004
85;2024-01-16 22:16:20.137201;0,525336876067565;;512;0,6165899852215113;1,4063987160845806;2631;17667;5269;0,019693574262641726;entmax;14;14;1;2;3;0,2630767755586759
86;2024-01-16 22:21:59.331555;0,5293224520781932;;512;0,7107222841245847;1,3028314744166298;2631;17667;5269;0,025733797747841826;entmax;10;18;2;3;3;0,22874455930689644
87;2024-01-16 22:27:16.004228;0,5224900360599735;;4096;0,7770509051789549;1,2729789783005339;2631;17667;5269;0,013434772766234669;sparsemax;8;16;2;2;8;0,20775971622075146
88;2024-01-16 22:37:32.813140;0,528373505408996;;512;0,7248536405599942;1,3659461369692942;2631;17667;5269;0,010758821932447612;entmax;23;17;1;4;3;0,29687100653866555
89;2024-01-16 22:46:21.775664;0,5315999240842665;;512;0,5607186429879163;1,385557405995541;2631;17667;5269;0,007909351237649794;entmax;10;13;2;3;6;0,24100042130037996
90;2024-01-16 22:59:59.325377;0,5310305560827482;;512;0,5602252388611377;1,4028069202356384;2631;17667;5269;0,007260920633182218;entmax;10;12;2;2;6;0,21836859850518042
91;2024-01-16 23:14:48.770339;0,5264756120706017;;512;0,5704657818522876;1,4632816833790407;2631;17667;5269;0,007517508530111878;entmax;10;12;2;2;6;0,2172274532975267
92;2024-01-16 23:27:45.279096;0,5257164547352439;;512;0,5514065239667677;1,3921069152919;2631;17667;5269;0,006168519060718342;entmax;12;13;2;2;6;0,23377338150386492
93;2024-01-16 23:42:25.884618;0,5264756120706017;;512;0,59367873460173;1,4338350683119716;2631;17667;5269;0,004513190408362014;entmax;11;14;2;2;6;0,2438976108604528
94;2024-01-16 23:57:35.658535;0,5243879293983678;;512;0,5306064589961126;1,3992799416567934;2631;17667;5269;0,008502580958116774;entmax;11;11;2;3;7;0,2096708005175612
95;2024-01-17 00:11:42.774338;0,5224900360599735;;1024;0,6124518772354116;1,3240635321129828;2631;17667;5269;0,006886546509378378;entmax;15;13;2;2;6;0,21889778529953088
96;2024-01-17 00:24:02.009148;0,5291326627443538;;512;0,5706475638054838;1,4253960338570748;2631;17667;5269;0,009483494924801505;entmax;10;15;2;3;5;0,22631125494638496
97;2024-01-17 00:34:28.504824;0,530081609413551;;512;0,6538235317116547;1,3693706020051513;2631;17667;5269;0,011556755996479198;entmax;35;12;2;1;7;0,2734819325756723
98;2024-01-17 00:54:03.998343;0,520971721389258;;4096;0,4769223178254128;1,5025117826481216;2631;17667;5269;0,013253725419474779;entmax;13;10;2;3;6;0,25567820014350423
99;2024-01-17 01:08:07.177437;0,5224900360599735;;2048;0,5236231489141614;1,4873620093019981;2631;17667;5269;0,005134838920483692;entmax;29;14;2;3;5;0,23581971861738574
100;2024-01-17 01:18:59.495138;0,5279939267413172;;512;0,6360348116867;1,3392717800572875;2631;17667;5269;0,017051601486579453;entmax;9;20;5;5;6;0,20554382758053405
101;2024-01-17 01:33:48.454466;0,5308407667489087;;512;0,670808341320566;1,3504544358910178;2631;17667;5269;0,00802186906872792;entmax;8;16;3;3;3;0,24249415327201018
102;2024-01-17 01:41:31.841265;0,5276143480736383;;512;0,5520743091998503;1,3021495563057557;2631;17667;5269;0,008183671336891546;entmax;20;62;3;3;3;0,24146089580760946
103;2024-01-17 01:53:13.596198;0,52704498007212;;512;0,6888866802138353;1,3854705730948567;2631;17667;5269;0,010029428194045908;entmax;8;16;3;3;3;0,21430441101227146
104;2024-01-17 02:02:20.916905;0,5287530840766749;;512;0,5854031552867979;1,356689043097598;2631;17667;5269;0,006842384289880439;entmax;8;15;3;3;3;0,2637628568580904
105;2024-01-17 02:10:37.214342;0,530081609413551;;512;0,6652026351058494;1,4536069752041125;2631;17667;5269;0,012372564906684085;entmax;10;13;2;2;7;0,22584464016051564
106;2024-01-17 02:28:50.417561;0,5162269880432719;;8192;0,6168701214508405;1,4059467440785116;2631;17667;5269;0,01458136618867856;sparsemax;9;18;3;3;3;0,2513201917797429
107;2024-01-17 02:35:10.539337;0,5297020307458721;;512;0,5953763262409766;1,4318031888330096;2631;17667;5269;0,007956289420137175;entmax;16;14;2;3;4;0,21740293071674646
108;2024-01-17 02:46:14.344846;0,525336876067565;;512;0,6277503795834352;1,3179314389600045;2631;17667;5269;0,01008698404135353;entmax;8;11;3;2;6;0,23228468629564228
109;2024-01-17 03:01:11.637841;0,5293224520781932;;512;0,5159564317393062;1,2228166910315719;2631;17667;5269;0,0058909387350196355;entmax;9;17;3;1;3;0,2439939351412817
110;2024-01-17 03:08:53.486644;0,5272347694059594;;4096;0,6801283443967543;1,2678332955613716;2631;17667;5269;0,016342687932747145;entmax;22;16;2;3;4;0,2603174980897553
111;2024-01-17 03:16:02.983598;0,528373505408996;;512;0,7024172462002097;1,3446037811180633;2631;17667;5269;0,019319796877954137;entmax;18;16;3;3;3;0,24826500986027736
112;2024-01-17 03:22:42.791972;0,528373505408996;;512;0,6490291942225316;1,3874876930235294;2631;17667;5269;0,023162188365985128;entmax;10;15;3;3;3;0,23384944219299883
113;2024-01-17 03:27:05.356241;0,5287530840766749;;512;0,6648068248695568;1,2478533343426832;2631;17667;5269;0,011131351613837099;entmax;9;17;3;3;3;0,2239313754368659
114;2024-01-17 03:34:36.117041;0,5247675080660467;;512;0,7268143793706243;1,369969773967962;2631;17667;5269;0,012923795877133434;entmax;11;19;3;3;3;0,26871766925987933
115;2024-01-17 03:41:04.669715;0,528373505408996;;512;0,7481879919972076;1,2909927033754993;2631;17667;5269;0,016709546275501905;entmax;39;14;4;3;3;0,24068454869817946
116;2024-01-17 03:52:52.353585;0,525336876067565;;512;0,684550336067978;1,354219342198262;2631;17667;5269;0,009167349334091517;entmax;8;15;3;3;9;0,2003462580908189
117;2024-01-17 04:18:29.322317;0,5293224520781932;;1024;0,5617760388879244;1,3310297645450986;2631;17667;5269;0,020403021522457737;entmax;12;18;3;2;3;0,28592719491842594
118;2024-01-17 04:25:40.673736;0,5264756120706017;;512;0,7057016394433389;1,4015637003370836;2631;17667;5269;0,013943242459928173;entmax;9;13;2;3;3;0,21223407677031778
119;2024-01-17 04:32:08.029906;0,5272347694059594;;512;0,6043376775189755;1,4184551665732952;2631;17667;5269;0,026990502388733295;sparsemax;10;12;3;2;3;0,25378206571968787
120;2024-01-17 04:40:00.264187;0,5276143480736383;;2048;0,6406153096038069;1,2700451824656966;2631;17667;5269;0,00774649772546395;entmax;11;22;2;3;7;0,2767186411653497
121;2024-01-17 04:56:29.591591;0,5278041374074777;;512;0,6559716525819248;1,3692566355009;2631;17667;5269;0,011376278177113758;entmax;26;12;2;1;7;0,3690334317404547
122;2024-01-17 05:05:44.565125;0,5276143480736383;;512;0,6249472863308204;1,379117969975035;2631;17667;5269;0,011811649182910057;entmax;29;13;2;1;7;0,27541276473647286
123;2024-01-17 05:20:24.563291;0,5241981400645284;;512;0,6573948366639137;1,3533989592838997;2631;17667;5269;0,015310950033040173;entmax;38;16;2;1;6;0,26182567796351647
124;2024-01-17 05:35:56.786995;0,5255266654014045;;512;0,690848034603804;1,3027533434829737;2631;17667;5269;0,00929820292036438;entmax;49;14;2;1;7;0,23151330767435935
125;2024-01-17 05:53:12.319795;0,5317897134181059;;512;0,541339011099562;1,4435601253035875;2631;17667;5269;0,0329417176668392;entmax;20;9;2;1;7;0,24583230427923003
126;2024-01-17 06:03:45.276764;0,5276143480736383;;4096;0,5329541690151937;1,4539537786276777;2631;17667;5269;0,033664781122396306;entmax;12;9;1;1;6;0,2218216359618128
127;2024-01-17 06:11:04.857573;0,5278041374074777;;512;0,5615118809894047;1,431454134819964;2631;17667;5269;0,030723668779127165;entmax;20;9;3;3;3;0,24062747317411598
