datetime;validation;test;activation;b1;b2;batch_size;factor_flag;learning_rate;method;mode;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;num_hidden_layers;optim;scaler
2023-12-20 09:04:14.251777;0,529633641242981;;leaky_relu;0,05306430937552098;0,1670821217657286;64;False;0,004627409964760723;;vanilla;9;16,0;12,0;30,0;23,0;5;adam;minmax
2023-12-20 09:06:15.144757;0,5298132300376892;;leaky_relu;0,044005616183407925;0,24179962632080848;64;False;0,004387827529331236;;vanilla;9;18,0;12,0;30,0;24,0;5;adam;minmax
2023-12-20 09:08:14.031900;0,5305315852165222;;leaky_relu;0,03243055051740776;0,2465543485663534;64;False;0,004897974545114399;;vanilla;9;18,0;12,0;30,0;30,0;5;adam;minmax
2023-12-20 09:10:14.151166;0,5276580452919006;;leaky_relu;0,05569677392309391;0,2653715991934572;64;False;0,004530130275625131;;vanilla;8;21,0;12,0;28,0;30,0;5;adam;minmax
2023-12-20 09:12:14.084560;0,529633641242981;;leaky_relu;0,040195381509039244;0,23193290892932736;64;False;0,0052824110154150936;;vanilla;7;18,0;10,0;;;3;adam;minmax
2023-12-20 09:14:06.062475;0,5276580452919006;;leaky_relu;0,09515111077515453;0,1840465553424756;64;False;0,0031865166057011315;;vanilla;9;19,0;12,0;27,0;27,0;5;adam;minmax
2023-12-20 09:16:05.885271;0,5289285778999329;;leaky_relu;0,010622912482050662;0,3397382309462349;32;False;0,00718098249311009;;vanilla;5;17,0;14,0;29,0;;4;adam;minmax
2023-12-20 09:19:53.769995;0,5179597735404968;;leaky_relu;0,03660809526483507;0,24726205821409292;64;True;0,00395209048754075;;vanilla;8;18,0;10,0;30,0;25,0;5;adam;minmax
2023-12-20 09:21:53.592964;0,529633641242981;;leaky_relu;0,09842350238942474;0,30076606115418825;64;False;0,005750214161102735;;vanilla;7;23,0;8,0;28,0;;4;adam;minmax
2023-12-20 09:23:49.402335;0,5245535969734192;;leaky_relu;0,05133093891131857;0,21909409842268837;256;False;0,008985561206956549;;batchnorm;9;20,0;11,0;30,0;30,0;5;adam;minmax
2023-12-20 09:24:35.994788;0,529633641242981;;leaky_relu;0,05195807513263422;0,23013172983176677;64;False;0,004947569365679755;;vanilla;7;18,0;12,0;27,0;28,0;5;adam;minmax
2023-12-20 09:26:36.433278;0,5283764600753784;;leaky_relu;0,0396526899166602;0,15749536369813516;64;False;0,006115619554680046;;vanilla;5;16,0;7,0;;;3;adam;minmax
2023-12-20 09:28:26.657065;0,5281968116760254;;leaky_relu;0,12574001223255338;0,11693408089726365;64;False;0,010804120041692475;;vanilla;6;21,0;10,0;;;3;adam;minmax
2023-12-20 09:30:18.813765;0,5272988677024841;;leaky_relu;0,08659957986397518;0,2746937486796115;64;False;0,0028898695359440355;;vanilla;10;15,0;13,0;;;3;adam;minmax
2023-12-20 09:32:10.564484;0,5280357003211975;;leaky_relu;0,012357596935209783;0,20343696207309522;16;False;0,007773347803533249;;vanilla;4;19,0;11,0;;;3;adam;minmax
2023-12-20 09:39:24.115423;0,5272988677024841;;leaky_relu;0,15256634603848018;0,16289228947122586;64;False;0,004693792138376822;;vanilla;11;17,0;15,0;29,0;26,0;5;adam;minmax
2023-12-20 09:41:24.330290;0,5218023061752319;;leaky_relu;0,11023079268002281;0,24226295547407575;128;False;0,003966036542351405;;vanilla;9;14,0;;;;2;adam;minmax
2023-12-20 09:42:24.870567;0,4594109058380127;;relu;;;64;False;0,005283644289987987;pca;dropout;7;18,0;9,0;;;3;sgd;maxabs
2023-12-20 09:44:06.819512;0,5269396305084229;;leaky_relu;0,06379139265416027;0,09760427903875332;64;False;0,0033519967153749076;;vanilla;6;20,0;12,0;28,0;10,0;5;adam;minmax
2023-12-20 09:46:07.424798;0,41091954708099365;;leaky_relu;0,03793182492603889;0,17595519253309416;64;True;0,006929754997302142;;vanilla;11;13,0;14,0;30,0;21,0;5;adam;minmax
2023-12-20 09:48:05.677342;0,5272988677024841;;leaky_relu;0,09222381673589217;0,3033126990129187;64;False;0,005639708859463727;;vanilla;7;24,0;10,0;;;3;adam;minmax
2023-12-20 09:49:59.509025;0,5292744040489197;;leaky_relu;0,09857144864110359;0,21610390023025136;64;False;0,00924764234350539;;vanilla;9;27,0;8,0;28,0;;4;adam;minmax
2023-12-20 09:51:56.523383;0,5285560488700867;;leaky_relu;0,14148497381021283;0,28508882642555533;64;False;0,006054146543215055;;vanilla;8;22,0;6,0;29,0;;4;adam;minmax
2023-12-20 09:53:52.099991;0,5294540524482727;;leaky_relu;0,07825414124288609;0,24942096024006966;64;False;0,004680326045483957;;vanilla;10;16,0;11,0;27,0;24,0;5;adam;minmax
2023-12-20 09:55:53.079879;0,5285560488700867;;leaky_relu;0,03814628258596623;0,13444970867505113;64;False;0,012000829068265134;;vanilla;12;14,0;8,0;25,0;28,0;5;adam;minmax
2023-12-20 09:57:52.760414;0,5289152264595032;;leaky_relu;0,12565040425737106;0,3227858096155034;64;False;0,0038937437260634492;;vanilla;8;25,0;13,0;30,0;;4;adam;minmax
2023-12-20 09:59:50.208209;0,459285706281662;;relu;0,15533660166531968;0,1970794120665635;32;False;0,007635088417743667;;vanilla;10;10,0;7,0;29,0;6,0;5;adam;maxabs
2023-12-20 10:03:46.241750;0,5244252681732178;;leaky_relu;0,06539432404430068;0,1550288357802841;64;False;0,0027377634949016763;pca;vanilla;7;21,0;;;;2;adam;minmax
2023-12-20 10:05:41.848729;0,5265804529190063;;leaky_relu;0,10676469710905281;0,22983964767486037;64;False;0,0057874808944187;;vanilla;15;12,0;10,0;;;3;adam;minmax
2023-12-20 10:07:35.546457;0,5237069129943848;;leaky_relu;0,016167140449639017;0,12185692998483896;64;False;0,003305837114798879;;batchnorm;9;11,0;16,0;26,0;19,0;5;adam;normalizer
2023-12-20 10:09:48.847712;0,5285560488700867;;leaky_relu;0,05836901371434867;0,22980710953051306;64;False;0,004492098899000269;;vanilla;6;18,0;12,0;28,0;28,0;5;adam;minmax
2023-12-20 10:11:47.653317;0,5292744040489197;;leaky_relu;0,04679899889708966;0,2568390328419074;64;False;0,005170417267945198;;vanilla;7;19,0;13,0;27,0;29,0;5;adam;minmax
2023-12-20 10:13:48.866001;0,5308908224105835;;leaky_relu;0,08355314565770655;0,17433404167494168;64;False;0,004996269566800602;;vanilla;7;18,0;14,0;29,0;26,0;5;adam;minmax
2023-12-20 10:15:49.194654;0,5241815447807312;;leaky_relu;0,17388215819024191;0,1826890893583243;256;False;0,006947371211115613;;vanilla;4;16,0;14,0;29,0;25,0;5;adam;minmax
2023-12-20 10:16:31.012425;0,5294540524482727;;leaky_relu;0,084948721486179;0,0822442170631959;64;False;0,009020332000051869;anova;vanilla;5;17,0;15,0;30,0;23,0;5;adam;minmax
2023-12-20 10:18:32.596458;0,5262212753295898;;selu;;;64;False;0,0037705255564693067;;vanilla;8;15,0;11,0;28,0;26,0;5;sgd;minmax
2023-12-20 10:21:04.298200;0,5287500023841858;;leaky_relu;0,11679561893486944;0,15440193761689625;16;False;0,006422678875675491;anova;vanilla;10;18,0;9,0;30,0;24,0;5;adam;normalizer
2023-12-20 10:29:00.291658;0,5247092843055725;;selu;0,2085044756885354;0,1950283299650289;128;False;0,004235019739952297;;dropout;11;15,0;13,0;29,0;22,0;5;adam;minmax
2023-12-20 10:30:15.756339;0,2548491358757019;;leaky_relu;0,13517568598300814;0,13324702202577038;64;True;0,00505828918131665;anova;vanilla;13;13,0;14,0;28,0;27,0;5;adam;normalizer
2023-12-20 10:32:17.544803;0,5287356376647949;;selu;0,09030417442332542;0,17397758318338669;64;False;0,008216721641686311;;vanilla;9;9,0;12,0;26,0;;4;adam;minmax
2023-12-20 10:34:17.627501;0,5287356376647949;;leaky_relu;0,03330948546912283;0,2518322077304401;64;False;0,004979859738381578;;vanilla;7;18,0;12,0;27,0;29,0;5;adam;minmax
2023-12-20 10:36:20.330392;0,5281968116760254;;leaky_relu;0,05801680041623288;0,21503729402586272;64;False;0,0033725395205787346;;vanilla;6;20,0;11,0;29,0;27,0;5;adam;minmax
2023-12-20 10:38:23.227978;0,5290948152542114;;leaky_relu;0,02647071414149504;0,23542135322466087;64;False;0,005881101961257381;;vanilla;8;17,0;13,0;30,0;25,0;5;adam;minmax
2023-12-20 10:40:24.761225;0,530351996421814;;leaky_relu;0,062293286516904585;0,27937170948161116;64;False;0,004401943733643934;;vanilla;7;19,0;12,0;29,0;23,0;5;adam;minmax
2023-12-20 10:42:26.780011;0,524604856967926;;leaky_relu;0,16222812555090974;0,20603257603146807;64;False;0,0030176920851245586;anova;vanilla;9;22,0;14,0;29,0;23,0;5;adam;normalizer
2023-12-20 10:44:28.971012;0,5260416865348816;;relu;0,07636541547653959;0,2951965665331423;64;False;0,004181252332887959;;vanilla;11;19,0;15,0;;;3;adam;minmax
2023-12-20 10:46:22.235788;0,5276580452919006;;selu;0,11117920260299688;0,2733881789120364;64;False;0,011176105556267578;pca;vanilla;12;23,0;11,0;17,0;21,0;5;adam;maxabs
2023-12-20 10:48:23.251741;0,5213721394538879;;leaky_relu;0,13238522512516748;0,11199009070493667;64;False;0,0026541380789285654;;vanilla;10;;;;;1;adam;normalizer
2023-12-20 10:50:09.502692;0,5290948152542114;;selu;0,09414588201611154;0,17071530708901922;64;False;0,0035956563093302646;anova;vanilla;3;17,0;10,0;28,0;23,0;5;adam;minmax
2023-12-20 10:52:12.280831;0,5219643115997314;;leaky_relu;;;32;False;0,006911158986410696;;batchnorm;8;19,0;13,0;30,0;22,0;5;sgd;minmax
2023-12-20 10:56:21.708729;0,5278376340866089;;leaky_relu;0,05928903777192274;0,1445873486414096;64;False;0,00434533333873443;;vanilla;7;18,0;12,0;29,0;24,0;5;adam;minmax
2023-12-20 10:58:23.763814;0,5285560488700867;;leaky_relu;0,010841480006127044;0,22599910892707503;64;False;0,00531427135248021;;vanilla;7;20,0;12,0;27,0;26,0;5;adam;minmax
2023-12-20 11:00:25.790779;0,529633641242981;;leaky_relu;0,04426753217237257;0,19444352443667434;64;False;0,004801471464026999;;vanilla;6;16,0;9,0;28,0;28,0;5;adam;minmax
2023-12-20 11:02:28.099578;0,5287356376647949;;leaky_relu;0,07802548466271746;0,2685108979819591;64;False;0,0061833072361814345;;vanilla;5;18,0;12,0;30,0;24,0;5;adam;minmax
2023-12-20 11:04:29.538618;0,5262212753295898;;leaky_relu;0,03872529729052997;0,2433816049956289;64;False;0,0022967308104155913;;vanilla;9;11,0;14,0;29,0;25,0;5;adam;minmax
2023-12-20 11:06:30.627014;0,5269396305084229;;leaky_relu;0,06398909030729066;0,16447125452855077;64;False;0,003015308375455612;anova;vanilla;7;10,0;13,0;27,0;20,0;5;adam;normalizer
2023-12-20 11:08:31.876244;0,5249255895614624;;selu;0,11070449159720631;0,21242762934928308;256;False;0,00782758251856191;;vanilla;8;12,0;11,0;28,0;30,0;5;adam;minmax
2023-12-20 11:09:19.328128;0,5287356376647949;;leaky_relu;0,027173004564861075;0,34317345226792184;64;False;0,003690038872632054;;vanilla;6;27,0;10,0;30,0;;4;adam;normalizer
2023-12-20 11:11:16.506929;0,5195761322975159;;selu;0,14749370208302354;0,2868450650363656;64;True;0,005466989652797608;anova;dropout;10;17,0;15,0;26,0;23,0;5;adam;minmax
2023-12-20 11:13:25.379046;0,528161346912384;;leaky_relu;0,09041977690030523;0,14571747038131883;128;False;0,009733579848796583;;vanilla;21;19,0;13,0;;;3;adam;minmax
2023-12-20 11:14:31.288234;0,5267600417137146;;leaky_relu;0,04820454631814251;0,1882562570926407;64;False;0,004571740255232171;;vanilla;6;16,0;9,0;28,0;28,0;5;adam;minmax
2023-12-20 11:16:32.912257;0,5289152264595032;;leaky_relu;0,056403855391850735;0,2044106836641601;64;False;0,004750272614457048;;vanilla;5;16,0;6,0;29,0;28,0;5;adam;minmax
2023-12-20 11:18:35.848219;0,5272988677024841;;leaky_relu;0,026882341645356102;0,11430579409084798;64;False;0,003972945397541003;;vanilla;6;18,0;8,0;28,0;29,0;5;adam;minmax
2023-12-20 11:20:36.645377;0,5290948152542114;;leaky_relu;0,07680758276215144;0,19178887268688583;64;False;0,005930973040646486;;vanilla;7;17,0;11,0;30,0;26,0;5;adam;minmax
2023-12-20 11:22:37.285297;0,5299928188323975;;leaky_relu;0,12518966319994565;0,2540953713716383;64;False;0,005058168234980857;;vanilla;8;16,0;12,0;29,0;27,0;5;adam;minmax
2023-12-20 11:24:37.871709;0,5258928537368774;;leaky_relu;0,18097235654912314;0,23193339215121705;16;False;0,006769826499801349;;vanilla;8;18,0;12,0;29,0;22,0;5;adam;normalizer
2023-12-20 11:32:26.655077;0,5256824493408203;;relu;0,12619303518150743;0,30637158768808337;64;False;0,0033672107987187693;anova;vanilla;9;14,0;13,0;30,0;25,0;5;adam;minmax
2023-12-20 11:34:28.906342;0,5292744040489197;;selu;0,10247543330572281;0,2579239448720848;64;False;0,008262834143164699;;vanilla;8;15,0;12,0;27,0;27,0;5;adam;minmax
2023-12-20 11:37:24.659006;0,5188577771186829;;leaky_relu;0,15983046945374207;0,276690758323325;64;False;0,004136115103778487;pca;vanilla;11;19,0;14,0;29,0;21,0;5;adam;normalizer
2023-12-20 11:39:29.055418;0,522988498210907;;leaky_relu;0,1279172978628782;0,17109118728698;64;False;0,00544740762304443;anova;vanilla;10;17,0;11,0;;;3;adam;maxabs
2023-12-20 11:41:23.981243;0,5281968116760254;;leaky_relu;0,04781304984349403;0,21796110476846783;64;False;0,00476009437651845;;vanilla;4;16,0;10,0;28,0;29,0;5;adam;minmax
2023-12-20 11:43:24.401644;0,5292744040489197;;leaky_relu;0,07487135961909236;0,24822286213030953;64;False;0,004802318899757755;;vanilla;6;16,0;7,0;15,0;27,0;5;adam;minmax
2023-12-20 11:45:26.008174;0,5287356376647949;;leaky_relu;0,0950177500748082;0,18843614634424322;64;False;0,01525747749962195;;vanilla;8;12,0;9,0;25,0;26,0;5;adam;minmax
2023-12-20 11:47:34.916349;0,5283764600753784;;leaky_relu;0,03745422504985825;0,1384387160806209;64;False;0,006138746726070952;;vanilla;7;10,0;13,0;29,0;28,0;5;adam;minmax
2023-12-20 11:49:38.014842;0,5290948152542114;;leaky_relu;0,014899956299418683;0,09779190658336523;64;False;0,0030390927697729743;;vanilla;9;21,0;12,0;30,0;24,0;5;adam;minmax
