matchId;Div;season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;pagerank_750D_H;pagerank_750D_A
178;D1;T00-01;2001-02-04;Hansa Rostock;Ein Frankfurt;0;2;A;0,4301093691003562;0,6042309973469555
228;D1;T00-01;2001-03-17;Dortmund;Leverkusen;1;3;A;0,6475954435370619;0,8564709305569868
213;D1;T00-01;2001-03-04;Munich 1860;Leverkusen;1;0;H;0,4335491494920686;0,8564709305569868
192;D1;T00-01;2001-02-17;Hansa Rostock;Leverkusen;2;1;H;0,4301093691003562;0,8564709305569868
179;D1;T00-01;2001-02-04;Unterhaching;Leverkusen;1;2;A;0,6573526917588777;0,8564709305569868
219;D1;T00-01;2001-03-10;Ein Frankfurt;Schalke 04;0;0;D;0,6042309973469555;0,808915276308429
194;D1;T00-01;2001-02-17;Werder Bremen;Schalke 04;2;1;H;0,6724563935270619;0,808915276308429
174;D1;T00-01;2001-02-03;Cottbus;Schalke 04;4;1;H;0,421245032342832;0,808915276308429
166;D1;T00-01;2001-01-27;Freiburg;Unterhaching;2;0;H;0,5083951959864942;0,6573526917588777
184;D1;T00-01;2001-02-10;Kaiserslautern;Unterhaching;4;0;H;0,8152511235409359;0,6573526917588777
222;D1;T00-01;2001-03-10;Wolfsburg;Unterhaching;6;1;H;0,6568454247304567;0,6573526917588777
215;D1;T00-01;2001-03-07;Hertha;Unterhaching;2;1;H;0,580962653929967;0,6573526917588777
167;D1;T00-01;2001-01-27;Kaiserslautern;Wolfsburg;0;0;D;0,8152511235409359;0,6568454247304567
202;D1;T00-01;2001-02-24;Hamburg;Wolfsburg;3;2;H;0,6087896751129263;0,6568454247304567
225;D1;T00-01;2001-03-16;FC Koln;Wolfsburg;0;0;D;0,6446030499338156;0,6568454247304567
210;D1;T00-01;2001-03-03;Stuttgart;Wolfsburg;2;1;H;0,3842851830712391;0,6568454247304567
183;D1;T00-01;2001-02-10;Hertha;Wolfsburg;1;3;A;0,580962653929967;0,6568454247304567
233;D1;T00-01;2001-03-18;Werder Bremen;Kaiserslautern;1;2;A;0,6724563935270619;0,8152511235409359
196;D1;T00-01;2001-02-18;FC Koln;Kaiserslautern;0;1;A;0,6446030499338156;0,8152511235409359
208;D1;T00-01;2001-03-03;Cottbus;Kaiserslautern;0;2;A;0,421245032342832;0,8152511235409359
175;D1;T00-01;2001-02-03;Stuttgart;Kaiserslautern;6;1;H;0,3842851830712391;0,8152511235409359
169;D1;T00-01;2001-01-28;Hamburg;Hertha;1;2;A;0,6087896751129263;0,580962653929967
207;D1;T00-01;2001-03-03;FC Koln;Hertha;1;0;H;0,6446030499338156;0,580962653929967
173;D1;T00-01;2001-02-03;Bochum;Hertha;1;3;A;0,4678236421260002;0,580962653929967
227;D1;T00-01;2001-03-17;Cottbus;Hertha;3;0;H;0,421245032342832;0,580962653929967
