matchId;rounds;top1_H;top2_H;top3_H;top4_H;top5_H;top6_H;top7_H;down1_H;down2_H;down3_H;down4_H;down5_H;top1_A;top2_A;top3_A;top4_A;top5_A;top6_A;top7_A;down1_A;down2_A;down3_A;down4_A;down5_A
9807;12,0;13,0;12,0;11,0;4,0;3,0;1,0;1,0;-9,0;-7,0;-7,0;-6,0;-6,0;2,0;1,0;0,0;-7,0;-8,0;-10,0;-10,0;-20,0;-18,0;-18,0;-17,0;-17,0
9808;12,0;12,0;11,0;10,0;3,0;2,0;0,0;0,0;-10,0;-8,0;-8,0;-7,0;-7,0;19,0;18,0;17,0;10,0;9,0;7,0;7,0;-3,0;-1,0;-1,0;0,0;0,0
9809;12,0;19,0;18,0;17,0;10,0;9,0;7,0;7,0;-3,0;-1,0;-1,0;0,0;0,0;20,0;19,0;18,0;11,0;10,0;8,0;8,0;-2,0;0,0;0,0;1,0;1,0
9810;13,0;13,0;12,0;11,0;2,0;1,0;0,0;-1,0;-12,0;-10,0;-9,0;-9,0;-8,0;0,0;-1,0;-2,0;-11,0;-12,0;-13,0;-14,0;-25,0;-23,0;-22,0;-22,0;-21,0
9811;13,0;20,0;19,0;18,0;9,0;8,0;7,0;6,0;-5,0;-3,0;-2,0;-2,0;-1,0;23,0;22,0;21,0;12,0;11,0;10,0;9,0;-2,0;0,0;1,0;1,0;2,0
9812;13,0;25,0;24,0;23,0;14,0;13,0;12,0;11,0;0,0;2,0;3,0;3,0;4,0;18,0;17,0;16,0;7,0;6,0;5,0;4,0;-7,0;-5,0;-4,0;-4,0;-3,0
9813;13,0;21,0;20,0;19,0;10,0;9,0;8,0;7,0;-4,0;-2,0;-1,0;-1,0;0,0;11,0;10,0;9,0;0,0;-1,0;-2,0;-3,0;-14,0;-12,0;-11,0;-11,0;-10,0
9814;13,0;2,0;1,0;0,0;-9,0;-10,0;-11,0;-12,0;-23,0;-21,0;-20,0;-20,0;-19,0;22,0;21,0;20,0;11,0;10,0;9,0;8,0;-3,0;-1,0;0,0;0,0;1,0
9815;13,0;18,0;17,0;16,0;7,0;6,0;5,0;4,0;-7,0;-5,0;-4,0;-4,0;-3,0;15,0;14,0;13,0;4,0;3,0;2,0;1,0;-10,0;-8,0;-7,0;-7,0;-6,0
9816;13,0;14,0;13,0;12,0;3,0;2,0;1,0;0,0;-11,0;-9,0;-8,0;-8,0;-7,0;15,0;14,0;13,0;4,0;3,0;2,0;1,0;-10,0;-8,0;-7,0;-7,0;-6,0
9817;13,0;16,0;15,0;14,0;5,0;4,0;3,0;2,0;-9,0;-7,0;-6,0;-6,0;-5,0;1,0;0,0;-1,0;-10,0;-11,0;-12,0;-13,0;-24,0;-22,0;-21,0;-21,0;-20,0
