2024-02-09 18:42:58,026 - root - WARNING - leagues: ['esp', 'ing', 'ger', 'fra']
2024-02-09 18:42:58,028 - root - WARNING - seasons: ['1718']
2024-02-09 18:43:00,979 - root - INFO - Scrapping...
2024-02-09 18:43:00,981 - root - INFO - Saving cached data to F:\TFG\code\scrapping\cache
2024-02-09 18:43:06,814 - root - INFO - reading schedule...
2024-02-09 18:43:06,816 - root - DEBUG - Retrieving https://www.whoscored.com from cache
2024-02-09 18:43:06,824 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/252/Tournaments/2/England-Premier-League from cache
2024-02-09 18:43:06,844 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/206/Tournaments/4/Spain-LaLiga from cache
2024-02-09 18:43:06,862 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/74/Tournaments/22/France-Ligue-1 from cache
2024-02-09 18:43:06,882 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/81/Tournaments/3/Germany-Bundesliga from cache
2024-02-09 18:43:11,451 - root - INFO - Scraping game schedule from https://www.whoscored.com/Regions/206/Tournaments/4/Seasons/6960/Spain-LaLiga
2024-02-09 18:45:07,786 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:45:08,140 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:45:08,241 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:45:08,508 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:45:13,801 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:45:13,861 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:45:14,056 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:45:14,250 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:45:14,310 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:45:14,419 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:45:14,833 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:45:14,964 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:45:15,325 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:45:20,704 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:45:20,765 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:45:20,949 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:45:21,141 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:45:21,200 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:45:21,309 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:45:21,656 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:45:21,756 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:45:22,023 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:45:27,327 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:45:27,404 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:45:27,609 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:45:27,800 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:45:27,858 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:45:27,960 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:45:28,316 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:45:28,417 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:45:28,682 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:45:33,991 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:45:34,049 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:45:34,241 - root - INFO - Scraping game schedule for Sunday, May 6 2018
