match,Date,season,Div,HomeTeam,AwayTeam,FTHG,FTAG,label,lgbm_top1_rs,own_original_comp_bal_fac_ss,own_original_simp_fac_ss,own_top1_adv_comp_fac_ss_miv2,tabnet_own_comp_rs_unsup_rps,tabnet_own_simp_ss_sup,tabnet_owntop1_comp_ss_sup,tabnet_paper_ss_unsup
6082,2020-06-07,T19-20,D1,Union Berlin,Schalke 04,1,1,0.0,0.2725,0.3583,0.3356,0.3,0.3056,0.2968,0.2595,0.2739
6083,2020-06-07,T19-20,D1,Augsburg,FC Koln,1,1,0.0,0.2615,0.3488,0.3391,0.2765,0.2837,0.3223,0.2379,0.273
6084,2020-06-12,T19-20,D1,Hoffenheim,RB Leipzig,0,2,2.0,0.5478,0.4886,0.5303,0.5201,0.5452,0.4832,0.5561,0.3655
6085,2020-06-13,T19-20,D1,FC Koln,Union Berlin,1,2,2.0,0.2461,0.2573,0.1726,0.218,0.1774,0.2053,0.2963,0.3649
6086,2020-06-13,T19-20,D1,Fortuna Dusseldorf,Dortmund,0,1,2.0,0.6285,0.5993,0.786,0.6507,0.6932,0.7118,0.6165,0.585
6087,2020-06-13,T19-20,D1,Hertha,Ein Frankfurt,1,4,2.0,0.2785,0.3161,0.2234,0.3096,0.2337,0.2851,0.3472,0.2265
6088,2020-06-13,T19-20,D1,Paderborn,Werder Bremen,1,5,2.0,0.3928,0.3444,0.2886,0.3361,0.2685,0.1992,0.3111,0.3987
6089,2020-06-13,T19-20,D1,Wolfsburg,Freiburg,2,2,0.0,0.2787,0.348,0.2833,0.2815,0.2647,0.2276,0.2657,0.2341
6090,2020-06-13,T19-20,D1,Bayern Munich,M'gladbach,2,1,1.0,0.6899,0.6545,0.8077,0.8157,0.8719,0.9681,0.9354,0.7501
6091,2020-06-14,T19-20,D1,Mainz,Augsburg,0,1,2.0,0.2419,0.3215,0.2417,0.2313,0.1857,0.2115,0.2639,0.275
6092,2020-06-14,T19-20,D1,Schalke 04,Leverkusen,1,1,0.0,0.2348,0.3107,0.2374,0.2666,0.2128,0.2452,0.2971,0.2595
6093,2020-06-16,T19-20,D1,M'gladbach,Wolfsburg,3,0,1.0,0.5346,0.3138,0.507,0.5625,0.5236,0.5614,0.5518,0.6072
6094,2020-06-16,T19-20,D1,Freiburg,Hertha,2,1,1.0,0.462,0.3844,0.4112,0.5488,0.56,0.4999,0.4585,0.3916
6095,2020-06-16,T19-20,D1,Union Berlin,Paderborn,1,0,1.0,0.5217,0.3442,0.5219,0.5007,0.5613,0.5389,0.5382,0.4378
6096,2020-06-16,T19-20,D1,Werder Bremen,Bayern Munich,0,1,2.0,0.6261,0.6853,0.8126,0.7366,0.7397,0.8114,0.705,0.5545
6097,2020-06-17,T19-20,D1,Ein Frankfurt,Schalke 04,2,1,1.0,0.4537,0.4765,0.5285,0.5792,0.5864,0.5349,0.5056,0.2218
6098,2020-06-17,T19-20,D1,Augsburg,Hoffenheim,1,3,2.0,0.3528,0.3856,0.3192,0.4156,0.2716,0.394,0.4165,0.3164
6099,2020-06-17,T19-20,D1,Dortmund,Mainz,0,2,2.0,0.0817,0.122,0.0403,0.0679,0.0401,0.0832,0.0649,0.0944
6100,2020-06-17,T19-20,D1,Leverkusen,FC Koln,3,1,1.0,0.6778,0.4905,0.6487,0.7615,0.8058,0.5553,0.636,0.692
6101,2020-06-17,T19-20,D1,RB Leipzig,Fortuna Dusseldorf,2,2,0.0,0.1421,0.2732,0.1237,0.1337,0.1204,0.1623,0.1148,0.2625
6102,2020-06-20,T19-20,D1,Bayern Munich,Freiburg,3,1,1.0,0.8106,0.6996,0.836,0.8769,0.8431,0.9757,0.9347,0.7356
6103,2020-06-20,T19-20,D1,FC Koln,Ein Frankfurt,1,1,0.0,0.2739,0.3419,0.3367,0.2816,0.2856,0.2383,0.2706,0.2553
6104,2020-06-20,T19-20,D1,Fortuna Dusseldorf,Augsburg,1,1,0.0,0.2837,0.3557,0.3385,0.2907,0.2697,0.2857,0.2956,0.2805
6105,2020-06-20,T19-20,D1,Hertha,Leverkusen,2,0,1.0,0.2154,0.2051,0.2962,0.1893,0.2629,0.3528,0.2957,0.2663
6106,2020-06-20,T19-20,D1,Hoffenheim,Union Berlin,4,0,1.0,0.4725,0.4412,0.5594,0.5649,0.5602,0.5393,0.4504,0.5252
6107,2020-06-20,T19-20,D1,Mainz,Werder Bremen,3,1,1.0,0.3386,0.3527,0.4027,0.4313,0.5431,0.5416,0.4333,0.358
6108,2020-06-20,T19-20,D1,Paderborn,M'gladbach,1,3,2.0,0.5096,0.4914,0.7628,0.5711,0.5893,0.5506,0.4465,0.3443
6109,2020-06-20,T19-20,D1,RB Leipzig,Dortmund,0,2,2.0,0.3024,0.3305,0.2717,0.2642,0.2944,0.4005,0.2364,0.5156
6110,2020-06-20,T19-20,D1,Schalke 04,Wolfsburg,1,4,2.0,0.3376,0.4326,0.3612,0.3855,0.4433,0.4089,0.3169,0.1027
6111,2020-06-27,T19-20,D1,Augsburg,RB Leipzig,1,2,2.0,0.5343,0.5155,0.7141,0.6294,0.6854,0.5578,0.6111,0.5254
